funcid,dim,milestone,error
25,100,1,3.163946e+03
25,100,2,1.541335e+03
25,100,3,1.231858e+03
25,100,5,1.059327e+03
25,100,10,8.740202e+02
25,100,20,8.740202e+02
25,100,30,8.327689e+02
25,100,40,8.319127e+02
25,100,50,8.319127e+02
25,100,60,8.230696e+02
25,100,70,8.225187e+02
25,100,80,8.225187e+02
25,100,90,8.225187e+02
25,100,100,7.943673e+02
25,100,1,2.120549e+03
25,100,2,1.156674e+03
25,100,3,1.003104e+03
25,100,5,9.398721e+02
25,100,10,8.317062e+02
25,100,20,8.317062e+02
25,100,30,7.883383e+02
25,100,40,7.883383e+02
25,100,50,7.343711e+02
25,100,60,7.341069e+02
25,100,70,7.341069e+02
25,100,80,7.341069e+02
25,100,90,7.341069e+02
25,100,100,7.341069e+02
25,100,1,2.841566e+03
25,100,2,1.405100e+03
25,100,3,1.174894e+03
25,100,5,1.034143e+03
25,100,10,8.949448e+02
25,100,20,7.732353e+02
25,100,30,7.360903e+02
25,100,40,6.999161e+02
25,100,50,6.993824e+02
25,100,60,6.993824e+02
25,100,70,6.874096e+02
25,100,80,6.873924e+02
25,100,90,6.873924e+02
25,100,100,6.873924e+02
25,100,1,4.136154e+03
25,100,2,1.647143e+03
25,100,3,1.299501e+03
25,100,5,1.026252e+03
25,100,10,8.632979e+02
25,100,20,7.870936e+02
25,100,30,7.868742e+02
25,100,40,7.868742e+02
25,100,50,7.868742e+02
25,100,60,7.868742e+02
25,100,70,7.352266e+02
25,100,80,7.347664e+02
25,100,90,7.347664e+02
25,100,100,7.347664e+02
25,100,1,2.895953e+03
25,100,2,1.385972e+03
25,100,3,1.175041e+03
25,100,5,9.813569e+02
25,100,10,8.345360e+02
25,100,20,8.345360e+02
25,100,30,8.345360e+02
25,100,40,8.345360e+02
25,100,50,8.345360e+02
25,100,60,8.033854e+02
25,100,70,8.031381e+02
25,100,80,8.031381e+02
25,100,90,8.031381e+02
25,100,100,8.031381e+02
25,100,1,2.446025e+03
25,100,2,1.205630e+03
25,100,3,1.014211e+03
25,100,5,9.319053e+02
25,100,10,8.319586e+02
25,100,20,8.319586e+02
25,100,30,7.802772e+02
25,100,40,7.798435e+02
25,100,50,7.798435e+02
25,100,60,7.722995e+02
25,100,70,7.717696e+02
25,100,80,6.708500e+02
25,100,90,6.706434e+02
25,100,100,6.706434e+02
25,100,1,2.336715e+03
25,100,2,1.299042e+03
25,100,3,1.051352e+03
25,100,5,9.473330e+02
25,100,10,8.242753e+02
25,100,20,7.742615e+02
25,100,30,7.740408e+02
25,100,40,7.740408e+02
25,100,50,6.968349e+02
25,100,60,6.959091e+02
25,100,70,6.959091e+02
25,100,80,6.959091e+02
25,100,90,6.959091e+02
25,100,100,6.959091e+02
25,100,1,2.692065e+03
25,100,2,1.181514e+03
25,100,3,9.789704e+02
25,100,5,8.923311e+02
25,100,10,8.300351e+02
25,100,20,8.300119e+02
25,100,30,6.658753e+02
25,100,40,6.657853e+02
25,100,50,6.657853e+02
25,100,60,6.657853e+02
25,100,70,6.657853e+02
25,100,80,6.657853e+02
25,100,90,6.657853e+02
25,100,100,6.657853e+02
25,100,1,1.964072e+03
25,100,2,1.140013e+03
25,100,3,9.339706e+02
25,100,5,8.524126e+02
25,100,10,8.091870e+02
25,100,20,7.754344e+02
25,100,30,7.754344e+02
25,100,40,7.754344e+02
25,100,50,7.754344e+02
25,100,60,7.479615e+02
25,100,70,7.473511e+02
25,100,80,7.473511e+02
25,100,90,7.473511e+02
25,100,100,7.473511e+02
25,100,1,2.589808e+03
25,100,2,1.216379e+03
25,100,3,1.024574e+03
25,100,5,8.966905e+02
25,100,10,7.998425e+02
25,100,20,7.998425e+02
25,100,30,7.998425e+02
25,100,40,7.998425e+02
25,100,50,7.998425e+02
25,100,60,7.998425e+02
25,100,70,7.998425e+02
25,100,80,7.998425e+02
25,100,90,7.998425e+02
25,100,100,7.998425e+02
