funcid,dim,milestone,error
4,10,1,7.822849e+00
4,10,2,5.255891e+00
4,10,3,4.619383e+00
4,10,5,3.573875e+00
4,10,10,1.221180e+00
4,10,20,1.221180e+00
4,10,30,1.221180e+00
4,10,40,3.803570e-02
4,10,50,3.803570e-02
4,10,60,3.803570e-02
4,10,70,3.803570e-02
4,10,80,3.803570e-02
4,10,90,3.803570e-02
4,10,100,3.803570e-02
4,10,1,7.395785e+00
4,10,2,5.421639e+00
4,10,3,4.297044e+00
4,10,5,2.988323e+00
4,10,10,1.020266e+00
4,10,20,1.020266e+00
4,10,30,1.020266e+00
4,10,40,2.435199e-01
4,10,50,2.435199e-01
4,10,60,2.435199e-01
4,10,70,2.435199e-01
4,10,80,2.435199e-01
4,10,90,2.435199e-01
4,10,100,2.435199e-01
4,10,1,7.709008e+00
4,10,2,6.675420e+00
4,10,3,5.578813e+00
4,10,5,4.133842e+00
4,10,10,1.544703e+00
4,10,20,1.544703e+00
4,10,30,1.544703e+00
4,10,40,1.544703e+00
4,10,50,7.101352e-01
4,10,60,7.101352e-01
4,10,70,7.101352e-01
4,10,80,7.101352e-01
4,10,90,7.101352e-01
4,10,100,7.101352e-01
4,10,1,8.584315e+00
4,10,2,7.918026e+00
4,10,3,7.032997e+00
4,10,5,6.113220e+00
4,10,10,3.211215e+00
4,10,20,2.642821e+00
4,10,30,2.642045e+00
4,10,40,2.290355e+00
4,10,50,2.174932e+00
4,10,60,1.278844e+00
4,10,70,1.799130e-01
4,10,80,1.799130e-01
4,10,90,1.799130e-01
4,10,100,1.799130e-01
4,10,1,9.242674e+00
4,10,2,8.385768e+00
4,10,3,7.815082e+00
4,10,5,5.925857e+00
4,10,10,3.721668e+00
4,10,20,1.556325e+00
4,10,30,1.502479e+00
4,10,40,1.502479e+00
4,10,50,1.502479e+00
4,10,60,1.502479e+00
4,10,70,7.167291e-01
4,10,80,7.041289e-01
4,10,90,7.041289e-01
4,10,100,7.041289e-01
4,10,1,8.082431e+00
4,10,2,4.898608e+00
4,10,3,4.300356e+00
4,10,5,2.439455e+00
4,10,10,8.952211e-01
4,10,20,8.952211e-01
4,10,30,8.952211e-01
4,10,40,8.952211e-01
4,10,50,8.952211e-01
4,10,60,8.952211e-01
4,10,70,8.952211e-01
4,10,80,8.952211e-01
4,10,90,1.446461e-01
4,10,100,1.446461e-01
4,10,1,8.038647e+01
4,10,2,3.542325e+01
4,10,3,6.934190e+00
4,10,5,5.459474e+00
4,10,10,2.741770e+00
4,10,20,2.741770e+00
4,10,30,2.741770e+00
4,10,40,1.564301e+00
4,10,50,1.527739e+00
4,10,60,1.527739e+00
4,10,70,1.527739e+00
4,10,80,1.527739e+00
4,10,90,1.527739e+00
4,10,100,1.527739e+00
4,10,1,7.813014e+01
4,10,2,8.813251e+00
4,10,3,7.430630e+00
4,10,5,6.007828e+00
4,10,10,3.466061e+00
4,10,20,3.454042e+00
4,10,30,2.950284e+00
4,10,40,2.302887e+00
4,10,50,2.253024e+00
4,10,60,2.253024e+00
4,10,70,2.253024e+00
4,10,80,2.253024e+00
4,10,90,2.203602e+00
4,10,100,2.144632e+00
4,10,1,9.022265e+00
4,10,2,7.799567e+00
4,10,3,6.985283e+00
4,10,5,5.693199e+00
4,10,10,2.900438e+00
4,10,20,3.757455e-01
4,10,30,3.752339e-01
4,10,40,3.752339e-01
4,10,50,3.752339e-01
4,10,60,2.595394e-01
4,10,70,2.595394e-01
4,10,80,2.595394e-01
4,10,90,4.264363e-02
4,10,100,4.264363e-02
4,10,1,9.482106e+00
4,10,2,7.815973e+00
4,10,3,6.925406e+00
4,10,5,5.421651e+00
4,10,10,2.728949e+00
4,10,20,1.969798e+00
4,10,30,1.960442e+00
4,10,40,1.960442e+00
4,10,50,1.960442e+00
4,10,60,1.960442e+00
4,10,70,1.927525e+00
4,10,80,1.225232e+00
4,10,90,1.169795e+00
4,10,100,1.169795e+00
