funcid,dim,milestone,error
13,10,1,7.491900e+04
13,10,2,2.147244e+04
13,10,3,6.770981e+03
13,10,5,4.953609e+03
13,10,10,3.252435e+03
13,10,20,3.252435e+03
13,10,30,3.252435e+03
13,10,40,3.252435e+03
13,10,50,5.969596e+02
13,10,60,5.969596e+02
13,10,70,5.969596e+02
13,10,80,5.969596e+02
13,10,90,5.969596e+02
13,10,100,5.969596e+02
13,10,1,1.524339e+04
13,10,2,6.096737e+03
13,10,3,5.815983e+03
13,10,5,5.815983e+03
13,10,10,5.815983e+03
13,10,20,5.815983e+03
13,10,30,2.199651e+03
13,10,40,1.691341e+03
13,10,50,1.691341e+03
13,10,60,1.691341e+03
13,10,70,1.297392e+03
13,10,80,1.297392e+03
13,10,90,1.297392e+03
13,10,100,1.297392e+03
13,10,1,7.176766e+04
13,10,2,1.923788e+04
13,10,3,1.245100e+04
13,10,5,1.129855e+04
13,10,10,1.040886e+04
13,10,20,1.040886e+04
13,10,30,1.920255e+03
13,10,40,1.920255e+03
13,10,50,1.045661e+03
13,10,60,1.045661e+03
13,10,70,1.045661e+03
13,10,80,7.328507e+02
13,10,90,7.328507e+02
13,10,100,7.328507e+02
13,10,1,3.368961e+04
13,10,2,3.368961e+04
13,10,3,1.586179e+04
13,10,5,1.389494e+04
13,10,10,1.389494e+04
13,10,20,1.389494e+04
13,10,30,5.646824e+03
13,10,40,5.646824e+03
13,10,50,2.650322e+03
13,10,60,2.650322e+03
13,10,70,2.115950e+03
13,10,80,2.115950e+03
13,10,90,2.115950e+03
13,10,100,1.246183e+03
13,10,1,1.560184e+05
13,10,2,4.062416e+04
13,10,3,2.271047e+04
13,10,5,9.052570e+03
13,10,10,8.493466e+03
13,10,20,8.493466e+03
13,10,30,4.096802e+03
13,10,40,4.096802e+03
13,10,50,3.578148e+03
13,10,60,3.578148e+03
13,10,70,3.578148e+03
13,10,80,3.578148e+03
13,10,90,3.466997e+03
13,10,100,3.466997e+03
13,10,1,2.514495e+04
13,10,2,1.858486e+04
13,10,3,1.241578e+04
13,10,5,1.111993e+04
13,10,10,8.679660e+03
13,10,20,1.106736e+03
13,10,30,1.106736e+03
13,10,40,1.106736e+03
13,10,50,1.106736e+03
13,10,60,1.106736e+03
13,10,70,1.106736e+03
13,10,80,1.106736e+03
13,10,90,1.106736e+03
13,10,100,1.106736e+03
13,10,1,8.820268e+04
13,10,2,1.353932e+04
13,10,3,1.353932e+04
13,10,5,1.290704e+04
13,10,10,1.287601e+04
13,10,20,1.287601e+04
13,10,30,1.287601e+04
13,10,40,7.599125e+03
13,10,50,7.599125e+03
13,10,60,5.459863e+03
13,10,70,2.460221e+03
13,10,80,2.460221e+03
13,10,90,2.460221e+03
13,10,100,2.460221e+03
13,10,1,6.081216e+04
13,10,2,4.988144e+04
13,10,3,4.725327e+04
13,10,5,4.293238e+04
13,10,10,3.983046e+04
13,10,20,2.256523e+03
13,10,30,2.256523e+03
13,10,40,2.256523e+03
13,10,50,2.256523e+03
13,10,60,2.256523e+03
13,10,70,1.489097e+03
13,10,80,1.489097e+03
13,10,90,1.489097e+03
13,10,100,1.489097e+03
13,10,1,4.400532e+04
13,10,2,3.966740e+04
13,10,3,3.620698e+04
13,10,5,3.620698e+04
13,10,10,3.620698e+04
13,10,20,7.391916e+03
13,10,30,7.391916e+03
13,10,40,7.391916e+03
13,10,50,3.001837e+03
13,10,60,3.001837e+03
13,10,70,3.001837e+03
13,10,80,3.001837e+03
13,10,90,3.001837e+03
13,10,100,1.361028e+03
13,10,1,1.246828e+05
13,10,2,3.165868e+04
13,10,3,3.165868e+04
13,10,5,2.472639e+04
13,10,10,2.257641e+04
13,10,20,9.867091e+02
13,10,30,9.867091e+02
13,10,40,9.867091e+02
13,10,50,9.867091e+02
13,10,60,9.867091e+02
13,10,70,9.867091e+02
13,10,80,9.867091e+02
13,10,90,9.867091e+02
13,10,100,9.867091e+02
