funcid,dim,milestone,error
8,50,1,4.800262e+02
8,50,2,3.414154e+02
8,50,3,2.999998e+02
8,50,5,2.728263e+02
8,50,10,2.643040e+02
8,50,20,2.545488e+02
8,50,30,2.545488e+02
8,50,40,2.545488e+02
8,50,50,2.545488e+02
8,50,60,2.545488e+02
8,50,70,2.545488e+02
8,50,80,2.545488e+02
8,50,90,2.545488e+02
8,50,100,2.500656e+02
8,50,1,4.573723e+02
8,50,2,3.241951e+02
8,50,3,2.871445e+02
8,50,5,2.652767e+02
8,50,10,2.554368e+02
8,50,20,2.273405e+02
8,50,30,2.263018e+02
8,50,40,2.263018e+02
8,50,50,2.263018e+02
8,50,60,2.263018e+02
8,50,70,2.263018e+02
8,50,80,2.263018e+02
8,50,90,2.263018e+02
8,50,100,2.223710e+02
8,50,1,5.277850e+02
8,50,2,3.835872e+02
8,50,3,3.313275e+02
8,50,5,3.081690e+02
8,50,10,3.021214e+02
8,50,20,3.021214e+02
8,50,30,2.424998e+02
8,50,40,2.424998e+02
8,50,50,2.424998e+02
8,50,60,2.424998e+02
8,50,70,2.424998e+02
8,50,80,2.424998e+02
8,50,90,2.424998e+02
8,50,100,2.424998e+02
8,50,1,4.646060e+02
8,50,2,3.400656e+02
8,50,3,3.044418e+02
8,50,5,2.880174e+02
8,50,10,2.811254e+02
8,50,20,2.542577e+02
8,50,30,2.542577e+02
8,50,40,2.542577e+02
8,50,50,2.542577e+02
8,50,60,2.542577e+02
8,50,70,2.542577e+02
8,50,80,2.542577e+02
8,50,90,2.542577e+02
8,50,100,2.388006e+02
8,50,1,4.608198e+02
8,50,2,2.894351e+02
8,50,3,2.193872e+02
8,50,5,2.009125e+02
8,50,10,1.915459e+02
8,50,20,1.915459e+02
8,50,30,1.915459e+02
8,50,40,1.915459e+02
8,50,50,1.915459e+02
8,50,60,1.915459e+02
8,50,70,1.915459e+02
8,50,80,1.915459e+02
8,50,90,1.915459e+02
8,50,100,1.915459e+02
8,50,1,4.944618e+02
8,50,2,3.408114e+02
8,50,3,2.997375e+02
8,50,5,2.738392e+02
8,50,10,2.675058e+02
8,50,20,2.675058e+02
8,50,30,2.675058e+02
8,50,40,2.503660e+02
8,50,50,2.503660e+02
8,50,60,2.503660e+02
8,50,70,2.503660e+02
8,50,80,2.503660e+02
8,50,90,2.503660e+02
8,50,100,2.503660e+02
8,50,1,5.126313e+02
8,50,2,3.802968e+02
8,50,3,3.490457e+02
8,50,5,3.150920e+02
8,50,10,3.071539e+02
8,50,20,2.296224e+02
8,50,30,2.296224e+02
8,50,40,2.296224e+02
8,50,50,2.296224e+02
8,50,60,2.296224e+02
8,50,70,2.296224e+02
8,50,80,2.296224e+02
8,50,90,2.296224e+02
8,50,100,2.296224e+02
8,50,1,5.350724e+02
8,50,2,3.542387e+02
8,50,3,3.366991e+02
8,50,5,3.082354e+02
8,50,10,2.984264e+02
8,50,20,2.984264e+02
8,50,30,2.984264e+02
8,50,40,2.853265e+02
8,50,50,2.283560e+02
8,50,60,2.283560e+02
8,50,70,2.283560e+02
8,50,80,2.283560e+02
8,50,90,2.283560e+02
8,50,100,2.283560e+02
8,50,1,4.718803e+02
8,50,2,3.790119e+02
8,50,3,3.283371e+02
8,50,5,3.050561e+02
8,50,10,2.966722e+02
8,50,20,2.108101e+02
8,50,30,2.108101e+02
8,50,40,2.108101e+02
8,50,50,2.108101e+02
8,50,60,2.108101e+02
8,50,70,2.108101e+02
8,50,80,2.108101e+02
8,50,90,2.108101e+02
8,50,100,2.108101e+02
8,50,1,5.483054e+02
8,50,2,3.808947e+02
8,50,3,3.502585e+02
8,50,5,3.207979e+02
8,50,10,3.146577e+02
8,50,20,3.085190e+02
8,50,30,3.021961e+02
8,50,40,2.533994e+02
8,50,50,2.533994e+02
8,50,60,2.533994e+02
8,50,70,2.533994e+02
8,50,80,2.533994e+02
8,50,90,2.533994e+02
8,50,100,2.533994e+02
