funcid,dim,milestone,error
24,100,1,2.779873e+03
24,100,2,2.440832e+03
24,100,3,2.379918e+03
24,100,5,2.322190e+03
24,100,10,2.300517e+03
24,100,20,2.065014e+03
24,100,30,1.972715e+03
24,100,40,1.972715e+03
24,100,50,1.972715e+03
24,100,60,1.972715e+03
24,100,70,1.972715e+03
24,100,80,1.972715e+03
24,100,90,1.972715e+03
24,100,100,1.972715e+03
24,100,1,2.739485e+03
24,100,2,2.407923e+03
24,100,3,2.282634e+03
24,100,5,2.233461e+03
24,100,10,2.214156e+03
24,100,20,2.173705e+03
24,100,30,2.159970e+03
24,100,40,2.044827e+03
24,100,50,1.952849e+03
24,100,60,1.952849e+03
24,100,70,1.952849e+03
24,100,80,1.952849e+03
24,100,90,1.942095e+03
24,100,100,1.942095e+03
24,100,1,2.840107e+03
24,100,2,2.521612e+03
24,100,3,2.429554e+03
24,100,5,2.376030e+03
24,100,10,2.354847e+03
24,100,20,1.909261e+03
24,100,30,1.909261e+03
24,100,40,1.909261e+03
24,100,50,1.909261e+03
24,100,60,1.896486e+03
24,100,70,1.896486e+03
24,100,80,1.896486e+03
24,100,90,1.896486e+03
24,100,100,1.896486e+03
24,100,1,2.672580e+03
24,100,2,2.314754e+03
24,100,3,2.201228e+03
24,100,5,2.110045e+03
24,100,10,2.089212e+03
24,100,20,2.089212e+03
24,100,30,2.089212e+03
24,100,40,1.919772e+03
24,100,50,1.919772e+03
24,100,60,1.919772e+03
24,100,70,1.919772e+03
24,100,80,1.919772e+03
24,100,90,1.919772e+03
24,100,100,1.919772e+03
24,100,1,2.732262e+03
24,100,2,2.397490e+03
24,100,3,2.311219e+03
24,100,5,2.260038e+03
24,100,10,2.241145e+03
24,100,20,1.791118e+03
24,100,30,1.791118e+03
24,100,40,1.791118e+03
24,100,50,1.791118e+03
24,100,60,1.791118e+03
24,100,70,1.791118e+03
24,100,80,1.791118e+03
24,100,90,1.791118e+03
24,100,100,1.791118e+03
24,100,1,2.584702e+03
24,100,2,2.250093e+03
24,100,3,2.138204e+03
24,100,5,2.093511e+03
24,100,10,2.074761e+03
24,100,20,2.074761e+03
24,100,30,2.074761e+03
24,100,40,2.074761e+03
24,100,50,1.749515e+03
24,100,60,1.749374e+03
24,100,70,1.749374e+03
24,100,80,1.749374e+03
24,100,90,1.749374e+03
24,100,100,1.749374e+03
24,100,1,2.977093e+03
24,100,2,2.706598e+03
24,100,3,2.593575e+03
24,100,5,2.548413e+03
24,100,10,2.530268e+03
24,100,20,2.457528e+03
24,100,30,2.006529e+03
24,100,40,2.006529e+03
24,100,50,2.006529e+03
24,100,60,2.006529e+03
24,100,70,2.006529e+03
24,100,80,2.006529e+03
24,100,90,2.006529e+03
24,100,100,2.006529e+03
24,100,1,2.628922e+03
24,100,2,2.342265e+03
24,100,3,2.234897e+03
24,100,5,2.186367e+03
24,100,10,2.167406e+03
24,100,20,2.167406e+03
24,100,30,2.167406e+03
24,100,40,2.167406e+03
24,100,50,2.004263e+03
24,100,60,2.004263e+03
24,100,70,2.004263e+03
24,100,80,2.004263e+03
24,100,90,2.004263e+03
24,100,100,2.004263e+03
24,100,1,2.613448e+03
24,100,2,2.312328e+03
24,100,3,2.193159e+03
24,100,5,2.135939e+03
24,100,10,2.118765e+03
24,100,20,1.911114e+03
24,100,30,1.911114e+03
24,100,40,1.911114e+03
24,100,50,1.911114e+03
24,100,60,1.911114e+03
24,100,70,1.911114e+03
24,100,80,1.892753e+03
24,100,90,1.892753e+03
24,100,100,1.892753e+03
24,100,1,2.866628e+03
24,100,2,2.507058e+03
24,100,3,2.408216e+03
24,100,5,2.342169e+03
24,100,10,2.322255e+03
24,100,20,2.322255e+03
24,100,30,2.126696e+03
24,100,40,2.126696e+03
24,100,50,1.925381e+03
24,100,60,1.925381e+03
24,100,70,1.925381e+03
24,100,80,1.925381e+03
24,100,90,1.925381e+03
24,100,100,1.925381e+03
