funcid,dim,milestone,error
8,30,1,2.497665e+02
8,30,2,1.858608e+02
8,30,3,1.740536e+02
8,30,5,1.691250e+02
8,30,10,1.667436e+02
8,30,20,1.370841e+02
8,30,30,1.000934e+02
8,30,40,1.000934e+02
8,30,50,1.000934e+02
8,30,60,1.000934e+02
8,30,70,1.000934e+02
8,30,80,1.000934e+02
8,30,90,1.000934e+02
8,30,100,1.000934e+02
8,30,1,2.674101e+02
8,30,2,1.932689e+02
8,30,3,1.834099e+02
8,30,5,1.787316e+02
8,30,10,1.767226e+02
8,30,20,1.041695e+02
8,30,30,1.041695e+02
8,30,40,1.041695e+02
8,30,50,1.041695e+02
8,30,60,1.041695e+02
8,30,70,1.041695e+02
8,30,80,1.041695e+02
8,30,90,1.041695e+02
8,30,100,1.041695e+02
8,30,1,2.788347e+02
8,30,2,2.343403e+02
8,30,3,2.186730e+02
8,30,5,2.111219e+02
8,30,10,2.095266e+02
8,30,20,1.627987e+02
8,30,30,8.514682e+01
8,30,40,8.514682e+01
8,30,50,8.514682e+01
8,30,60,8.514682e+01
8,30,70,8.514682e+01
8,30,80,8.514682e+01
8,30,90,8.514682e+01
8,30,100,8.514682e+01
8,30,1,1.643887e+02
8,30,2,1.251048e+02
8,30,3,1.091875e+02
8,30,5,1.047643e+02
8,30,10,1.020592e+02
8,30,20,1.020592e+02
8,30,30,1.020592e+02
8,30,40,1.020592e+02
8,30,50,1.020592e+02
8,30,60,1.020592e+02
8,30,70,1.020592e+02
8,30,80,1.020592e+02
8,30,90,1.020592e+02
8,30,100,9.224389e+01
8,30,1,2.471266e+02
8,30,2,2.029783e+02
8,30,3,1.888323e+02
8,30,5,1.846449e+02
8,30,10,1.825043e+02
8,30,20,1.597729e+02
8,30,30,1.597729e+02
8,30,40,1.239828e+02
8,30,50,1.239828e+02
8,30,60,1.239828e+02
8,30,70,1.239828e+02
8,30,80,1.239828e+02
8,30,90,1.193335e+02
8,30,100,1.193335e+02
8,30,1,2.037415e+02
8,30,2,1.415910e+02
8,30,3,1.300000e+02
8,30,5,1.242905e+02
8,30,10,1.221245e+02
8,30,20,1.221245e+02
8,30,30,1.141386e+02
8,30,40,1.141386e+02
8,30,50,1.141386e+02
8,30,60,1.141386e+02
8,30,70,1.141386e+02
8,30,80,1.101474e+02
8,30,90,1.100650e+02
8,30,100,1.100650e+02
8,30,1,1.919645e+02
8,30,2,1.539563e+02
8,30,3,1.431752e+02
8,30,5,1.374461e+02
8,30,10,1.360186e+02
8,30,20,1.360186e+02
8,30,30,1.121229e+02
8,30,40,8.027248e+01
8,30,50,8.027248e+01
8,30,60,8.027248e+01
8,30,70,8.027248e+01
8,30,80,8.027248e+01
8,30,90,8.027248e+01
8,30,100,8.027248e+01
8,30,1,2.052112e+02
8,30,2,1.566401e+02
8,30,3,1.438889e+02
8,30,5,1.388020e+02
8,30,10,1.368989e+02
8,30,20,1.368989e+02
8,30,30,1.169455e+02
8,30,40,1.169455e+02
8,30,50,1.002393e+02
8,30,60,1.002393e+02
8,30,70,1.002393e+02
8,30,80,1.002393e+02
8,30,90,1.002393e+02
8,30,100,1.002393e+02
8,30,1,2.392421e+02
8,30,2,1.767983e+02
8,30,3,1.690064e+02
8,30,5,1.616714e+02
8,30,10,1.597894e+02
8,30,20,7.627684e+01
8,30,30,7.627684e+01
8,30,40,7.627684e+01
8,30,50,7.627684e+01
8,30,60,7.627684e+01
8,30,70,7.627684e+01
8,30,80,7.627684e+01
8,30,90,7.627684e+01
8,30,100,7.627684e+01
8,30,1,1.942495e+02
8,30,2,1.394870e+02
8,30,3,1.314890e+02
8,30,5,1.252915e+02
8,30,10,1.230224e+02
8,30,20,1.129847e+02
8,30,30,1.129847e+02
8,30,40,8.915705e+01
8,30,50,8.915705e+01
8,30,60,8.915705e+01
8,30,70,8.915705e+01
8,30,80,8.915705e+01
8,30,90,8.915705e+01
8,30,100,8.915705e+01
