funcid,dim,milestone,error
23,30,1,5.430883e+02
23,30,2,4.991627e+02
23,30,3,4.876427e+02
23,30,5,4.821138e+02
23,30,10,4.800764e+02
23,30,20,4.800764e+02
23,30,30,4.800764e+02
23,30,40,4.593857e+02
23,30,50,4.593857e+02
23,30,60,4.593857e+02
23,30,70,4.593857e+02
23,30,80,4.484621e+02
23,30,90,4.484621e+02
23,30,100,4.484621e+02
23,30,1,6.109529e+02
23,30,2,5.483891e+02
23,30,3,5.358881e+02
23,30,5,5.297438e+02
23,30,10,5.270524e+02
23,30,20,5.270524e+02
23,30,30,4.709387e+02
23,30,40,4.709387e+02
23,30,50,4.454324e+02
23,30,60,4.454324e+02
23,30,70,4.197151e+02
23,30,80,4.197151e+02
23,30,90,4.197151e+02
23,30,100,4.197151e+02
23,30,1,5.520173e+02
23,30,2,4.772063e+02
23,30,3,4.653846e+02
23,30,5,4.596340e+02
23,30,10,4.566735e+02
23,30,20,4.566735e+02
23,30,30,4.566735e+02
23,30,40,4.566735e+02
23,30,50,4.566735e+02
23,30,60,4.566735e+02
23,30,70,4.566735e+02
23,30,80,4.566735e+02
23,30,90,4.566735e+02
23,30,100,4.566735e+02
23,30,1,6.341400e+02
23,30,2,5.670237e+02
23,30,3,5.594108e+02
23,30,5,5.527036e+02
23,30,10,5.507235e+02
23,30,20,5.420435e+02
23,30,30,5.420435e+02
23,30,40,4.995937e+02
23,30,50,4.995937e+02
23,30,60,4.995937e+02
23,30,70,4.995937e+02
23,30,80,4.995937e+02
23,30,90,4.995937e+02
23,30,100,4.995937e+02
23,30,1,5.503702e+02
23,30,2,4.977878e+02
23,30,3,4.906200e+02
23,30,5,4.861240e+02
23,30,10,4.830109e+02
23,30,20,4.830109e+02
23,30,30,4.830109e+02
23,30,40,4.830109e+02
23,30,50,4.830109e+02
23,30,60,4.274784e+02
23,30,70,4.274784e+02
23,30,80,4.274784e+02
23,30,90,4.274784e+02
23,30,100,4.274784e+02
23,30,1,5.358948e+02
23,30,2,4.712311e+02
23,30,3,4.584871e+02
23,30,5,4.519219e+02
23,30,10,4.490773e+02
23,30,20,4.490773e+02
23,30,30,4.490773e+02
23,30,40,4.369552e+02
23,30,50,4.369552e+02
23,30,60,4.369552e+02
23,30,70,4.369552e+02
23,30,80,4.369552e+02
23,30,90,4.369552e+02
23,30,100,4.369552e+02
23,30,1,6.121250e+02
23,30,2,5.481622e+02
23,30,3,5.363388e+02
23,30,5,5.309239e+02
23,30,10,5.291118e+02
23,30,20,5.291118e+02
23,30,30,4.960044e+02
23,30,40,4.960044e+02
23,30,50,4.960044e+02
23,30,60,4.960044e+02
23,30,70,4.960044e+02
23,30,80,4.960044e+02
23,30,90,4.937214e+02
23,30,100,4.937214e+02
23,30,1,5.889905e+02
23,30,2,5.146491e+02
23,30,3,4.932714e+02
23,30,5,4.887862e+02
23,30,10,4.872578e+02
23,30,20,4.872578e+02
23,30,30,4.751902e+02
23,30,40,4.751902e+02
23,30,50,4.751902e+02
23,30,60,4.751902e+02
23,30,70,4.751902e+02
23,30,80,4.606495e+02
23,30,90,4.332901e+02
23,30,100,4.332901e+02
23,30,1,5.896935e+02
23,30,2,5.386588e+02
23,30,3,5.263528e+02
23,30,5,5.194053e+02
23,30,10,5.171146e+02
23,30,20,5.171146e+02
23,30,30,5.171146e+02
23,30,40,5.171146e+02
23,30,50,4.580731e+02
23,30,60,4.580731e+02
23,30,70,4.580731e+02
23,30,80,4.580731e+02
23,30,90,4.580731e+02
23,30,100,4.218218e+02
23,30,1,6.000635e+02
23,30,2,5.467305e+02
23,30,3,5.379184e+02
23,30,5,5.303451e+02
23,30,10,5.290460e+02
23,30,20,5.290460e+02
23,30,30,5.290460e+02
23,30,40,5.102860e+02
23,30,50,4.908023e+02
23,30,60,4.908023e+02
23,30,70,4.908023e+02
23,30,80,4.908023e+02
23,30,90,4.476539e+02
23,30,100,4.476539e+02
