funcid,dim,milestone,error
21,30,1,6.787083e+02
21,30,2,6.787083e+02
21,30,3,6.787083e+02
21,30,5,6.787083e+02
21,30,10,6.787083e+02
21,30,20,6.787083e+02
21,30,30,6.787083e+02
21,30,40,6.787083e+02
21,30,50,6.787083e+02
21,30,60,6.787083e+02
21,30,70,6.787083e+02
21,30,80,6.787083e+02
21,30,90,6.787083e+02
21,30,100,6.787083e+02
21,30,1,6.787083e+02
21,30,2,6.787083e+02
21,30,3,6.787083e+02
21,30,5,6.787083e+02
21,30,10,6.787083e+02
21,30,20,6.787083e+02
21,30,30,6.787083e+02
21,30,40,6.787083e+02
21,30,50,6.787083e+02
21,30,60,6.787083e+02
21,30,70,6.787083e+02
21,30,80,6.787083e+02
21,30,90,6.787083e+02
21,30,100,6.787083e+02
21,30,1,6.787083e+02
21,30,2,6.787083e+02
21,30,3,6.787083e+02
21,30,5,6.787083e+02
21,30,10,6.787083e+02
21,30,20,6.787083e+02
21,30,30,6.787083e+02
21,30,40,6.787083e+02
21,30,50,6.787083e+02
21,30,60,6.787083e+02
21,30,70,6.787083e+02
21,30,80,6.787083e+02
21,30,90,6.787083e+02
21,30,100,6.787083e+02
21,30,1,6.787083e+02
21,30,2,6.787083e+02
21,30,3,6.787083e+02
21,30,5,6.787083e+02
21,30,10,6.787083e+02
21,30,20,6.787083e+02
21,30,30,6.787083e+02
21,30,40,6.787083e+02
21,30,50,6.787083e+02
21,30,60,6.787083e+02
21,30,70,6.787083e+02
21,30,80,6.787083e+02
21,30,90,6.787083e+02
21,30,100,6.787083e+02
21,30,1,6.787083e+02
21,30,2,6.787083e+02
21,30,3,6.787083e+02
21,30,5,6.787083e+02
21,30,10,6.787083e+02
21,30,20,6.787083e+02
21,30,30,6.787083e+02
21,30,40,6.787083e+02
21,30,50,6.787083e+02
21,30,60,6.787083e+02
21,30,70,6.787083e+02
21,30,80,6.787083e+02
21,30,90,6.787083e+02
21,30,100,6.787083e+02
21,30,1,6.787083e+02
21,30,2,6.787083e+02
21,30,3,6.787083e+02
21,30,5,6.787083e+02
21,30,10,6.787083e+02
21,30,20,6.787083e+02
21,30,30,6.787083e+02
21,30,40,6.787083e+02
21,30,50,6.787083e+02
21,30,60,6.787083e+02
21,30,70,6.787083e+02
21,30,80,6.787083e+02
21,30,90,6.787083e+02
21,30,100,6.787083e+02
21,30,1,6.787083e+02
21,30,2,6.787083e+02
21,30,3,6.787083e+02
21,30,5,6.787083e+02
21,30,10,6.787083e+02
21,30,20,6.787083e+02
21,30,30,6.787083e+02
21,30,40,6.787083e+02
21,30,50,6.787083e+02
21,30,60,6.787083e+02
21,30,70,6.787083e+02
21,30,80,6.787083e+02
21,30,90,6.787083e+02
21,30,100,6.787083e+02
21,30,1,6.787083e+02
21,30,2,6.787083e+02
21,30,3,6.787083e+02
21,30,5,6.787083e+02
21,30,10,6.787083e+02
21,30,20,6.787083e+02
21,30,30,6.787083e+02
21,30,40,6.787083e+02
21,30,50,6.787083e+02
21,30,60,6.787083e+02
21,30,70,6.787083e+02
21,30,80,6.787083e+02
21,30,90,6.787083e+02
21,30,100,6.787083e+02
21,30,1,6.787083e+02
21,30,2,6.787083e+02
21,30,3,6.787083e+02
21,30,5,6.787083e+02
21,30,10,6.787083e+02
21,30,20,6.787083e+02
21,30,30,6.787083e+02
21,30,40,6.787083e+02
21,30,50,6.787083e+02
21,30,60,6.787083e+02
21,30,70,6.787083e+02
21,30,80,6.787083e+02
21,30,90,6.787083e+02
21,30,100,6.787083e+02
21,30,1,6.787083e+02
21,30,2,6.787083e+02
21,30,3,6.787083e+02
21,30,5,6.787083e+02
21,30,10,6.787083e+02
21,30,20,6.787083e+02
21,30,30,6.787083e+02
21,30,40,6.787083e+02
21,30,50,6.787083e+02
21,30,60,6.787083e+02
21,30,70,6.787083e+02
21,30,80,6.787083e+02
21,30,90,6.787083e+02
21,30,100,6.787083e+02
