funcid,dim,milestone,error
28,10,1,6.141938e+02
28,10,2,6.127792e+02
28,10,3,6.118638e+02
28,10,5,6.118405e+02
28,10,10,6.118405e+02
28,10,20,6.118314e+02
28,10,30,6.118294e+02
28,10,40,6.118239e+02
28,10,50,6.118239e+02
28,10,60,6.118239e+02
28,10,70,6.118239e+02
28,10,80,6.118234e+02
28,10,90,6.118227e+02
28,10,100,6.118226e+02
28,10,1,6.129787e+02
28,10,2,6.126776e+02
28,10,3,6.122675e+02
28,10,5,6.120325e+02
28,10,10,6.118776e+02
28,10,20,6.118381e+02
28,10,30,6.118235e+02
28,10,40,6.118235e+02
28,10,50,6.118235e+02
28,10,60,6.118235e+02
28,10,70,6.118222e+02
28,10,80,6.118222e+02
28,10,90,6.118222e+02
28,10,100,6.118220e+02
28,10,1,6.344014e+02
28,10,2,6.216564e+02
28,10,3,6.122779e+02
28,10,5,6.118922e+02
28,10,10,6.118643e+02
28,10,20,6.118531e+02
28,10,30,6.118310e+02
28,10,40,6.118251e+02
28,10,50,6.118240e+02
28,10,60,6.118228e+02
28,10,70,6.118228e+02
28,10,80,6.118226e+02
28,10,90,6.118223e+02
28,10,100,6.118223e+02
28,10,1,4.253785e+02
28,10,2,4.194093e+02
28,10,3,3.737300e+02
28,10,5,3.002666e+02
28,10,10,3.001103e+02
28,10,20,3.000432e+02
28,10,30,3.000190e+02
28,10,40,3.000083e+02
28,10,50,3.000077e+02
28,10,60,3.000077e+02
28,10,70,3.000043e+02
28,10,80,3.000034e+02
28,10,90,3.000034e+02
28,10,100,3.000034e+02
28,10,1,4.524161e+02
28,10,2,4.009210e+02
28,10,3,3.767508e+02
28,10,5,3.673411e+02
28,10,10,3.509019e+02
28,10,20,3.000310e+02
28,10,30,3.000126e+02
28,10,40,3.000126e+02
28,10,50,3.000126e+02
28,10,60,3.000080e+02
28,10,70,3.000066e+02
28,10,80,3.000065e+02
28,10,90,3.000033e+02
28,10,100,3.000033e+02
28,10,1,6.582699e+02
28,10,2,6.434176e+02
28,10,3,6.233890e+02
28,10,5,6.122343e+02
28,10,10,6.118764e+02
28,10,20,6.118412e+02
28,10,30,6.118241e+02
28,10,40,6.118241e+02
28,10,50,6.118231e+02
28,10,60,6.118231e+02
28,10,70,6.118231e+02
28,10,80,6.118225e+02
28,10,90,6.118225e+02
28,10,100,6.118225e+02
28,10,1,6.157222e+02
28,10,2,6.128072e+02
28,10,3,6.119970e+02
28,10,5,6.119970e+02
28,10,10,6.118678e+02
28,10,20,6.118319e+02
28,10,30,6.118290e+02
28,10,40,6.118253e+02
28,10,50,6.118252e+02
28,10,60,6.118236e+02
28,10,70,6.118235e+02
28,10,80,6.118235e+02
28,10,90,6.118235e+02
28,10,100,6.118223e+02
28,10,1,5.876777e+02
28,10,2,5.852378e+02
28,10,3,5.846816e+02
28,10,5,5.839375e+02
28,10,10,5.837853e+02
28,10,20,5.837572e+02
28,10,30,5.837504e+02
28,10,40,5.837465e+02
28,10,50,5.837465e+02
28,10,60,5.837465e+02
28,10,70,5.837456e+02
28,10,80,5.837456e+02
28,10,90,5.837456e+02
28,10,100,5.837456e+02
28,10,1,4.498070e+02
28,10,2,4.241435e+02
28,10,3,4.193153e+02
28,10,5,4.188828e+02
28,10,10,4.186309e+02
28,10,20,4.185695e+02
28,10,30,4.185568e+02
28,10,40,4.185540e+02
28,10,50,4.185523e+02
28,10,60,4.185521e+02
28,10,70,4.185503e+02
28,10,80,4.185498e+02
28,10,90,4.185498e+02
28,10,100,4.185495e+02
28,10,1,4.443322e+02
28,10,2,4.002594e+02
28,10,3,3.971253e+02
28,10,5,3.969810e+02
28,10,10,3.966565e+02
28,10,20,3.965894e+02
28,10,30,3.965759e+02
28,10,40,3.965759e+02
28,10,50,3.965709e+02
28,10,60,3.965709e+02
28,10,70,3.965698e+02
28,10,80,3.965692e+02
28,10,90,3.965689e+02
28,10,100,3.965689e+02
