funcid,dim,milestone,error
7,100,1,3.739351e+03
7,100,2,1.836017e+03
7,100,3,1.367335e+03
7,100,5,1.125465e+03
7,100,10,1.039444e+03
7,100,20,9.651074e+02
7,100,30,9.651074e+02
7,100,40,9.646890e+02
7,100,50,9.646890e+02
7,100,60,9.645806e+02
7,100,70,9.645426e+02
7,100,80,9.645426e+02
7,100,90,9.645127e+02
7,100,100,9.644977e+02
7,100,1,4.543323e+03
7,100,2,2.585578e+03
7,100,3,2.159562e+03
7,100,5,1.551966e+03
7,100,10,1.117821e+03
7,100,20,1.059463e+03
7,100,30,1.057303e+03
7,100,40,1.056784e+03
7,100,50,1.056525e+03
7,100,60,1.056525e+03
7,100,70,1.056446e+03
7,100,80,1.056424e+03
7,100,90,1.056391e+03
7,100,100,1.056365e+03
7,100,1,3.831737e+03
7,100,2,2.063079e+03
7,100,3,1.523985e+03
7,100,5,1.158734e+03
7,100,10,9.913590e+02
7,100,20,9.336495e+02
7,100,30,9.320671e+02
7,100,40,9.316648e+02
7,100,50,9.315619e+02
7,100,60,9.315490e+02
7,100,70,9.314727e+02
7,100,80,9.314447e+02
7,100,90,9.314384e+02
7,100,100,9.314228e+02
7,100,1,3.277036e+03
7,100,2,1.983695e+03
7,100,3,1.627816e+03
7,100,5,1.128838e+03
7,100,10,9.446693e+02
7,100,20,8.801753e+02
7,100,30,8.765554e+02
7,100,40,8.760159e+02
7,100,50,8.760159e+02
7,100,60,8.758983e+02
7,100,70,8.758467e+02
7,100,80,8.758344e+02
7,100,90,8.758103e+02
7,100,100,8.757791e+02
7,100,1,3.421158e+03
7,100,2,1.994912e+03
7,100,3,1.524459e+03
7,100,5,1.177138e+03
7,100,10,1.037036e+03
7,100,20,9.859129e+02
7,100,30,9.859129e+02
7,100,40,9.859129e+02
7,100,50,9.859129e+02
7,100,60,9.859129e+02
7,100,70,9.859129e+02
7,100,80,9.859129e+02
7,100,90,9.859129e+02
7,100,100,9.859129e+02
7,100,1,4.141628e+03
7,100,2,2.339206e+03
7,100,3,2.074780e+03
7,100,5,1.481058e+03
7,100,10,1.156598e+03
7,100,20,1.071715e+03
7,100,30,1.071715e+03
7,100,40,1.071715e+03
7,100,50,1.071715e+03
7,100,60,1.071715e+03
7,100,70,1.071715e+03
7,100,80,1.071715e+03
7,100,90,1.071715e+03
7,100,100,1.071715e+03
7,100,1,3.770921e+03
7,100,2,2.026340e+03
7,100,3,1.727554e+03
7,100,5,1.487679e+03
7,100,10,1.184164e+03
7,100,20,1.065260e+03
7,100,30,1.046130e+03
7,100,40,1.045932e+03
7,100,50,1.045671e+03
7,100,60,1.045592e+03
7,100,70,1.045571e+03
7,100,80,1.045528e+03
7,100,90,1.045519e+03
7,100,100,1.045509e+03
7,100,1,4.122057e+03
7,100,2,2.546529e+03
7,100,3,2.131053e+03
7,100,5,1.524217e+03
7,100,10,1.359627e+03
7,100,20,1.311425e+03
7,100,30,1.309817e+03
7,100,40,1.309562e+03
7,100,50,1.309388e+03
7,100,60,1.309277e+03
7,100,70,1.309256e+03
7,100,80,1.309234e+03
7,100,90,1.309203e+03
7,100,100,1.309180e+03
7,100,1,3.340532e+03
7,100,2,2.315864e+03
7,100,3,2.131159e+03
7,100,5,1.739771e+03
7,100,10,1.500958e+03
7,100,20,1.464611e+03
7,100,30,1.463575e+03
7,100,40,1.463274e+03
7,100,50,1.463148e+03
7,100,60,1.463079e+03
7,100,70,1.462975e+03
7,100,80,1.462960e+03
7,100,90,1.462929e+03
7,100,100,1.462918e+03
7,100,1,3.541739e+03
7,100,2,2.189345e+03
7,100,3,1.749441e+03
7,100,5,1.387481e+03
7,100,10,1.167708e+03
7,100,20,1.063183e+03
7,100,30,1.054304e+03
7,100,40,1.053910e+03
7,100,50,1.053876e+03
7,100,60,1.053710e+03
7,100,70,1.053639e+03
7,100,80,1.053616e+03
7,100,90,1.053597e+03
7,100,100,1.053580e+03
