funcid,dim,milestone,error
18,100,1,7.002433e+06
18,100,2,3.847776e+06
18,100,3,3.114686e+06
18,100,5,1.549015e+06
18,100,10,6.565235e+05
18,100,20,4.010299e+05
18,100,30,3.423263e+05
18,100,40,2.920037e+05
18,100,50,2.540201e+05
18,100,60,2.258820e+05
18,100,70,1.999134e+05
18,100,80,1.809272e+05
18,100,90,1.674508e+05
18,100,100,1.547855e+05
18,100,1,7.006265e+06
18,100,2,2.735565e+06
18,100,3,2.185188e+06
18,100,5,9.468828e+05
18,100,10,4.397853e+05
18,100,20,2.986910e+05
18,100,30,2.568557e+05
18,100,40,2.295610e+05
18,100,50,2.149853e+05
18,100,60,2.029273e+05
18,100,70,1.900599e+05
18,100,80,1.784955e+05
18,100,90,1.676479e+05
18,100,100,1.587815e+05
18,100,1,8.141688e+06
18,100,2,4.460916e+06
18,100,3,3.502051e+06
18,100,5,1.865828e+06
18,100,10,5.664984e+05
18,100,20,3.022046e+05
18,100,30,2.492832e+05
18,100,40,2.182984e+05
18,100,50,1.941805e+05
18,100,60,1.731451e+05
18,100,70,1.560750e+05
18,100,80,1.438961e+05
18,100,90,1.324211e+05
18,100,100,1.219211e+05
18,100,1,3.869786e+06
18,100,2,1.850526e+06
18,100,3,6.350449e+05
18,100,5,4.143601e+05
18,100,10,3.701561e+05
18,100,20,2.571550e+05
18,100,30,2.313281e+05
18,100,40,2.065274e+05
18,100,50,1.859656e+05
18,100,60,1.702582e+05
18,100,70,1.551714e+05
18,100,80,1.440573e+05
18,100,90,1.349823e+05
18,100,100,1.251880e+05
18,100,1,1.133314e+07
18,100,2,4.532559e+06
18,100,3,2.513735e+06
18,100,5,1.277502e+06
18,100,10,5.618284e+05
18,100,20,3.204977e+05
18,100,30,2.584939e+05
18,100,40,2.304794e+05
18,100,50,2.088564e+05
18,100,60,1.949259e+05
18,100,70,1.860467e+05
18,100,80,1.763459e+05
18,100,90,1.697522e+05
18,100,100,1.627031e+05
18,100,1,5.826432e+06
18,100,2,4.721950e+06
18,100,3,3.523148e+06
18,100,5,2.747900e+06
18,100,10,1.283530e+06
18,100,20,6.159465e+05
18,100,30,4.427617e+05
18,100,40,3.595099e+05
18,100,50,2.804280e+05
18,100,60,2.332317e+05
18,100,70,2.038829e+05
18,100,80,1.817700e+05
18,100,90,1.661752e+05
18,100,100,1.519351e+05
18,100,1,2.369843e+06
18,100,2,1.801115e+06
18,100,3,1.541559e+06
18,100,5,9.138063e+05
18,100,10,4.850284e+05
18,100,20,3.398346e+05
18,100,30,2.831717e+05
18,100,40,2.462870e+05
18,100,50,2.207166e+05
18,100,60,2.021472e+05
18,100,70,1.856469e+05
18,100,80,1.739267e+05
18,100,90,1.635429e+05
18,100,100,1.545186e+05
18,100,1,2.305139e+06
18,100,2,1.039858e+06
18,100,3,9.477670e+05
18,100,5,7.039105e+05
18,100,10,4.586140e+05
18,100,20,3.226993e+05
18,100,30,2.651477e+05
18,100,40,2.248937e+05
18,100,50,2.016314e+05
18,100,60,1.877191e+05
18,100,70,1.752825e+05
18,100,80,1.636237e+05
18,100,90,1.554800e+05
18,100,100,1.482475e+05
18,100,1,3.966162e+06
18,100,2,1.636806e+06
18,100,3,1.437050e+06
18,100,5,7.513002e+05
18,100,10,3.456497e+05
18,100,20,2.275340e+05
18,100,30,2.001846e+05
18,100,40,1.830695e+05
18,100,50,1.699271e+05
18,100,60,1.599093e+05
18,100,70,1.517929e+05
18,100,80,1.413353e+05
18,100,90,1.326533e+05
18,100,100,1.254852e+05
18,100,1,1.740569e+06
18,100,2,1.016474e+06
18,100,3,1.016474e+06
18,100,5,5.250540e+05
18,100,10,3.470035e+05
18,100,20,2.607632e+05
18,100,30,2.304346e+05
18,100,40,2.046888e+05
18,100,50,1.884039e+05
18,100,60,1.760245e+05
18,100,70,1.643179e+05
18,100,80,1.547893e+05
18,100,90,1.469024e+05
18,100,100,1.402707e+05
