funcid,dim,milestone,error
22,100,1,2.549285e+04
22,100,2,2.205774e+04
22,100,3,2.205774e+04
22,100,5,1.790976e+04
22,100,10,1.637064e+04
22,100,20,1.604819e+04
22,100,30,1.567016e+04
22,100,40,1.547468e+04
22,100,50,1.540755e+04
22,100,60,1.531460e+04
22,100,70,1.530364e+04
22,100,80,1.528163e+04
22,100,90,1.525398e+04
22,100,100,1.525398e+04
22,100,1,2.739629e+04
22,100,2,2.325059e+04
22,100,3,1.966264e+04
22,100,5,1.587877e+04
22,100,10,1.502600e+04
22,100,20,1.354526e+04
22,100,30,1.324621e+04
22,100,40,1.308199e+04
22,100,50,1.304300e+04
22,100,60,1.301581e+04
22,100,70,1.295815e+04
22,100,80,1.292125e+04
22,100,90,1.289601e+04
22,100,100,1.288552e+04
22,100,1,2.200234e+04
22,100,2,1.443253e+04
22,100,3,1.329001e+04
22,100,5,1.146019e+04
22,100,10,1.138823e+04
22,100,20,1.135270e+04
22,100,30,1.135073e+04
22,100,40,1.135034e+04
22,100,50,1.135020e+04
22,100,60,1.135008e+04
22,100,70,1.135001e+04
22,100,80,1.134993e+04
22,100,90,1.134993e+04
22,100,100,1.134991e+04
22,100,1,2.339107e+04
22,100,2,2.336747e+04
22,100,3,1.873631e+04
22,100,5,1.775832e+04
22,100,10,1.589367e+04
22,100,20,1.497357e+04
22,100,30,1.459609e+04
22,100,40,1.438248e+04
22,100,50,1.428775e+04
22,100,60,1.427162e+04
22,100,70,1.425015e+04
22,100,80,1.422096e+04
22,100,90,1.420564e+04
22,100,100,1.418773e+04
22,100,1,1.889580e+04
22,100,2,1.889580e+04
22,100,3,1.889580e+04
22,100,5,1.889580e+04
22,100,10,1.555540e+04
22,100,20,1.449879e+04
22,100,30,1.416763e+04
22,100,40,1.394418e+04
22,100,50,1.394418e+04
22,100,60,1.385649e+04
22,100,70,1.384032e+04
22,100,80,1.382361e+04
22,100,90,1.382361e+04
22,100,100,1.379840e+04
22,100,1,1.954615e+04
22,100,2,1.954615e+04
22,100,3,1.764334e+04
22,100,5,1.482670e+04
22,100,10,1.371186e+04
22,100,20,1.342172e+04
22,100,30,1.308305e+04
22,100,40,1.291361e+04
22,100,50,1.289839e+04
22,100,60,1.285977e+04
22,100,70,1.283321e+04
22,100,80,1.279799e+04
22,100,90,1.279034e+04
22,100,100,1.277983e+04
22,100,1,1.942097e+04
22,100,2,1.910031e+04
22,100,3,1.853943e+04
22,100,5,1.527694e+04
22,100,10,1.414526e+04
22,100,20,1.347875e+04
22,100,30,1.329653e+04
22,100,40,1.314473e+04
22,100,50,1.306737e+04
22,100,60,1.304273e+04
22,100,70,1.301798e+04
22,100,80,1.300250e+04
22,100,90,1.300063e+04
22,100,100,1.298760e+04
22,100,1,2.413941e+04
22,100,2,2.105663e+04
22,100,3,2.057486e+04
22,100,5,1.616312e+04
22,100,10,1.535287e+04
22,100,20,1.449569e+04
22,100,30,1.424910e+04
22,100,40,1.415888e+04
22,100,50,1.407758e+04
22,100,60,1.405388e+04
22,100,70,1.403194e+04
22,100,80,1.400836e+04
22,100,90,1.399523e+04
22,100,100,1.399523e+04
22,100,1,2.268975e+04
22,100,2,2.220865e+04
22,100,3,2.079363e+04
22,100,5,1.604845e+04
22,100,10,1.465468e+04
22,100,20,1.392698e+04
22,100,30,1.376258e+04
22,100,40,1.366574e+04
22,100,50,1.359423e+04
22,100,60,1.355400e+04
22,100,70,1.353816e+04
22,100,80,1.353816e+04
22,100,90,1.352286e+04
22,100,100,1.351476e+04
22,100,1,2.568230e+04
22,100,2,2.221033e+04
22,100,3,1.833828e+04
22,100,5,1.650257e+04
22,100,10,1.310328e+04
22,100,20,1.247267e+04
22,100,30,1.214040e+04
22,100,40,1.207098e+04
22,100,50,1.201827e+04
22,100,60,1.198740e+04
22,100,70,1.197206e+04
22,100,80,1.195658e+04
22,100,90,1.194939e+04
22,100,100,1.194939e+04
