funcid,dim,milestone,error
26,10,1,1.262698e+03
26,10,2,1.262698e+03
26,10,3,1.262698e+03
26,10,5,1.262698e+03
26,10,10,1.262698e+03
26,10,20,1.262698e+03
26,10,30,1.262698e+03
26,10,40,1.262698e+03
26,10,50,1.262698e+03
26,10,60,1.262698e+03
26,10,70,1.262698e+03
26,10,80,1.262698e+03
26,10,90,1.262698e+03
26,10,100,1.262698e+03
26,10,1,3.512499e+02
26,10,2,3.011651e+02
26,10,3,3.004446e+02
26,10,5,3.001228e+02
26,10,10,3.000773e+02
26,10,20,3.000178e+02
26,10,30,3.000110e+02
26,10,40,3.000110e+02
26,10,50,3.000046e+02
26,10,60,3.000046e+02
26,10,70,3.000046e+02
26,10,80,3.000046e+02
26,10,90,3.000046e+02
26,10,100,3.000018e+02
26,10,1,3.823179e+02
26,10,2,3.017212e+02
26,10,3,3.004594e+02
26,10,5,3.002606e+02
26,10,10,3.000468e+02
26,10,20,3.000288e+02
26,10,30,3.000139e+02
26,10,40,3.000139e+02
26,10,50,3.000113e+02
26,10,60,3.000069e+02
26,10,70,3.000043e+02
26,10,80,3.000042e+02
26,10,90,3.000012e+02
26,10,100,3.000012e+02
26,10,1,3.430556e+02
26,10,2,3.013670e+02
26,10,3,3.001198e+02
26,10,5,3.001198e+02
26,10,10,3.000636e+02
26,10,20,3.000228e+02
26,10,30,3.000151e+02
26,10,40,3.000059e+02
26,10,50,3.000059e+02
26,10,60,3.000059e+02
26,10,70,3.000047e+02
26,10,80,3.000035e+02
26,10,90,3.000022e+02
26,10,100,3.000022e+02
26,10,1,4.144236e+02
26,10,2,3.813094e+02
26,10,3,3.804203e+02
26,10,5,3.801244e+02
26,10,10,3.800990e+02
26,10,20,3.800952e+02
26,10,30,3.800950e+02
26,10,40,3.800949e+02
26,10,50,3.800948e+02
26,10,60,3.800948e+02
26,10,70,3.800948e+02
26,10,80,3.800948e+02
26,10,90,3.800948e+02
26,10,100,3.800948e+02
26,10,1,1.759454e+03
26,10,2,1.589621e+03
26,10,3,1.589621e+03
26,10,5,1.589621e+03
26,10,10,1.589621e+03
26,10,20,1.589621e+03
26,10,30,1.589621e+03
26,10,40,1.589621e+03
26,10,50,1.589621e+03
26,10,60,1.589621e+03
26,10,70,1.589621e+03
26,10,80,1.589621e+03
26,10,90,1.589621e+03
26,10,100,1.589621e+03
26,10,1,3.473142e+02
26,10,2,3.148400e+02
26,10,3,3.000632e+02
26,10,5,3.000632e+02
26,10,10,3.000632e+02
26,10,20,3.000165e+02
26,10,30,3.000163e+02
26,10,40,3.000129e+02
26,10,50,3.000078e+02
26,10,60,3.000051e+02
26,10,70,3.000046e+02
26,10,80,3.000045e+02
26,10,90,3.000015e+02
26,10,100,3.000015e+02
26,10,1,1.414795e+03
26,10,2,1.414795e+03
26,10,3,1.414795e+03
26,10,5,1.414795e+03
26,10,10,1.414795e+03
26,10,20,1.414795e+03
26,10,30,1.414795e+03
26,10,40,1.414795e+03
26,10,50,1.414795e+03
26,10,60,1.414795e+03
26,10,70,1.414795e+03
26,10,80,1.414795e+03
26,10,90,1.414795e+03
26,10,100,1.414795e+03
26,10,1,1.407892e+03
26,10,2,1.407892e+03
26,10,3,1.390443e+03
26,10,5,1.372426e+03
26,10,10,1.367829e+03
26,10,20,1.364344e+03
26,10,30,1.364229e+03
26,10,40,1.363853e+03
26,10,50,1.363853e+03
26,10,60,1.363764e+03
26,10,70,1.363764e+03
26,10,80,1.363764e+03
26,10,90,1.363722e+03
26,10,100,1.363722e+03
26,10,1,4.510110e+02
26,10,2,3.097243e+02
26,10,3,3.004031e+02
26,10,5,3.002433e+02
26,10,10,3.000391e+02
26,10,20,3.000214e+02
26,10,30,3.000123e+02
26,10,40,3.000080e+02
26,10,50,3.000080e+02
26,10,60,3.000080e+02
26,10,70,3.000058e+02
26,10,80,3.000021e+02
26,10,90,3.000021e+02
26,10,100,3.000021e+02
