funcid,dim,milestone,error
27,100,1,2.218428e+03
27,100,2,1.653987e+03
27,100,3,1.497182e+03
27,100,5,1.340947e+03
27,100,10,1.193267e+03
27,100,20,1.166615e+03
27,100,30,1.161679e+03
27,100,40,1.159768e+03
27,100,50,1.159239e+03
27,100,60,1.158512e+03
27,100,70,1.157891e+03
27,100,80,1.157513e+03
27,100,90,1.157285e+03
27,100,100,1.157034e+03
27,100,1,1.655278e+03
27,100,2,1.410636e+03
27,100,3,1.275839e+03
27,100,5,1.161848e+03
27,100,10,1.102718e+03
27,100,20,1.079166e+03
27,100,30,1.060717e+03
27,100,40,1.057494e+03
27,100,50,1.057494e+03
27,100,60,1.056195e+03
27,100,70,1.053216e+03
27,100,80,1.052203e+03
27,100,90,1.050265e+03
27,100,100,1.049533e+03
27,100,1,1.987060e+03
27,100,2,1.627198e+03
27,100,3,1.369565e+03
27,100,5,1.290211e+03
27,100,10,1.192460e+03
27,100,20,1.171597e+03
27,100,30,1.165800e+03
27,100,40,1.161216e+03
27,100,50,1.159911e+03
27,100,60,1.157266e+03
27,100,70,1.156576e+03
27,100,80,1.156260e+03
27,100,90,1.156188e+03
27,100,100,1.155185e+03
27,100,1,2.233454e+03
27,100,2,1.802005e+03
27,100,3,1.664161e+03
27,100,5,1.488652e+03
27,100,10,1.260540e+03
27,100,20,1.185736e+03
27,100,30,1.159906e+03
27,100,40,1.149173e+03
27,100,50,1.146041e+03
27,100,60,1.146041e+03
27,100,70,1.143117e+03
27,100,80,1.142311e+03
27,100,90,1.141386e+03
27,100,100,1.140614e+03
27,100,1,2.171577e+03
27,100,2,1.425867e+03
27,100,3,1.357545e+03
27,100,5,1.183337e+03
27,100,10,1.121225e+03
27,100,20,1.105589e+03
27,100,30,1.101633e+03
27,100,40,1.100623e+03
27,100,50,1.098591e+03
27,100,60,1.097301e+03
27,100,70,1.096703e+03
27,100,80,1.095997e+03
27,100,90,1.095997e+03
27,100,100,1.095939e+03
27,100,1,2.095553e+03
27,100,2,1.754586e+03
27,100,3,1.456972e+03
27,100,5,1.398382e+03
27,100,10,1.272328e+03
27,100,20,1.227302e+03
27,100,30,1.210224e+03
27,100,40,1.206540e+03
27,100,50,1.203631e+03
27,100,60,1.201118e+03
27,100,70,1.199060e+03
27,100,80,1.198662e+03
27,100,90,1.197785e+03
27,100,100,1.196611e+03
27,100,1,2.115702e+03
27,100,2,1.541183e+03
27,100,3,1.363179e+03
27,100,5,1.246876e+03
27,100,10,1.209039e+03
27,100,20,1.191834e+03
27,100,30,1.185109e+03
27,100,40,1.172082e+03
27,100,50,1.170407e+03
27,100,60,1.170407e+03
27,100,70,1.169409e+03
27,100,80,1.168647e+03
27,100,90,1.168552e+03
27,100,100,1.168089e+03
27,100,1,1.906018e+03
27,100,2,1.370505e+03
27,100,3,1.243403e+03
27,100,5,1.133069e+03
27,100,10,1.060046e+03
27,100,20,1.034866e+03
27,100,30,1.023290e+03
27,100,40,1.019593e+03
27,100,50,1.016915e+03
27,100,60,1.015899e+03
27,100,70,1.015100e+03
27,100,80,1.014971e+03
27,100,90,1.014238e+03
27,100,100,1.013891e+03
27,100,1,1.703201e+03
27,100,2,1.269303e+03
27,100,3,1.206003e+03
27,100,5,1.119940e+03
27,100,10,1.038426e+03
27,100,20,1.013478e+03
27,100,30,1.003013e+03
27,100,40,9.985664e+02
27,100,50,9.974941e+02
27,100,60,9.957872e+02
27,100,70,9.952475e+02
27,100,80,9.948410e+02
27,100,90,9.940279e+02
27,100,100,9.936542e+02
27,100,1,2.365693e+03
27,100,2,1.640558e+03
27,100,3,1.628638e+03
27,100,5,1.536557e+03
27,100,10,1.433719e+03
27,100,20,1.382199e+03
27,100,30,1.371135e+03
27,100,40,1.366127e+03
27,100,50,1.363011e+03
27,100,60,1.362297e+03
27,100,70,1.361098e+03
27,100,80,1.361098e+03
27,100,90,1.359842e+03
27,100,100,1.359685e+03
