funcid,dim,milestone,error
27,30,1,6.457707e+02
27,30,2,5.988412e+02
27,30,3,5.898865e+02
27,30,5,5.811108e+02
27,30,10,5.765175e+02
27,30,20,5.738273e+02
27,30,30,5.732536e+02
27,30,40,5.730270e+02
27,30,50,5.729244e+02
27,30,60,5.729244e+02
27,30,70,5.728064e+02
27,30,80,5.727126e+02
27,30,90,5.727126e+02
27,30,100,5.726317e+02
27,30,1,7.002884e+02
27,30,2,6.392313e+02
27,30,3,6.028378e+02
27,30,5,5.845510e+02
27,30,10,5.787537e+02
27,30,20,5.777646e+02
27,30,30,5.771554e+02
27,30,40,5.769507e+02
27,30,50,5.768550e+02
27,30,60,5.768461e+02
27,30,70,5.768196e+02
27,30,80,5.767666e+02
27,30,90,5.767464e+02
27,30,100,5.767464e+02
27,30,1,7.335204e+02
27,30,2,6.315759e+02
27,30,3,6.266063e+02
27,30,5,6.266063e+02
27,30,10,6.206163e+02
27,30,20,6.182922e+02
27,30,30,6.178516e+02
27,30,40,6.177505e+02
27,30,50,6.175672e+02
27,30,60,6.175065e+02
27,30,70,6.174813e+02
27,30,80,6.174813e+02
27,30,90,6.174404e+02
27,30,100,6.174404e+02
27,30,1,5.982745e+02
27,30,2,5.506330e+02
27,30,3,5.488821e+02
27,30,5,5.414736e+02
27,30,10,5.378282e+02
27,30,20,5.374539e+02
27,30,30,5.366618e+02
27,30,40,5.362657e+02
27,30,50,5.361632e+02
27,30,60,5.357890e+02
27,30,70,5.357890e+02
27,30,80,5.357559e+02
27,30,90,5.357074e+02
27,30,100,5.357074e+02
27,30,1,6.128890e+02
27,30,2,5.809738e+02
27,30,3,5.757944e+02
27,30,5,5.630799e+02
27,30,10,5.572181e+02
27,30,20,5.559447e+02
27,30,30,5.554546e+02
27,30,40,5.552134e+02
27,30,50,5.524375e+02
27,30,60,5.449520e+02
27,30,70,5.427100e+02
27,30,80,5.422748e+02
27,30,90,5.422106e+02
27,30,100,5.422027e+02
27,30,1,5.673152e+02
27,30,2,5.332383e+02
27,30,3,5.232378e+02
27,30,5,5.218779e+02
27,30,10,5.188145e+02
27,30,20,5.151127e+02
27,30,30,5.147574e+02
27,30,40,5.145383e+02
27,30,50,5.145092e+02
27,30,60,5.144492e+02
27,30,70,5.144209e+02
27,30,80,5.144138e+02
27,30,90,5.143888e+02
27,30,100,5.143888e+02
27,30,1,6.211739e+02
27,30,2,5.867397e+02
27,30,3,5.765906e+02
27,30,5,5.617335e+02
27,30,10,5.575527e+02
27,30,20,5.574758e+02
27,30,30,5.567237e+02
27,30,40,5.564064e+02
27,30,50,5.564064e+02
27,30,60,5.563353e+02
27,30,70,5.563353e+02
27,30,80,5.563353e+02
27,30,90,5.562854e+02
27,30,100,5.562854e+02
27,30,1,6.935056e+02
27,30,2,6.443094e+02
27,30,3,6.091414e+02
27,30,5,5.777563e+02
27,30,10,5.759207e+02
27,30,20,5.753999e+02
27,30,30,5.750433e+02
27,30,40,5.749928e+02
27,30,50,5.749263e+02
27,30,60,5.749151e+02
27,30,70,5.748898e+02
27,30,80,5.748505e+02
27,30,90,5.748404e+02
27,30,100,5.748404e+02
27,30,1,7.095090e+02
27,30,2,6.240632e+02
27,30,3,6.028961e+02
27,30,5,5.885128e+02
27,30,10,5.840578e+02
27,30,20,5.824180e+02
27,30,30,5.821115e+02
27,30,40,5.820216e+02
27,30,50,5.819517e+02
27,30,60,5.819517e+02
27,30,70,5.819194e+02
27,30,80,5.819158e+02
27,30,90,5.818928e+02
27,30,100,5.818767e+02
27,30,1,6.510221e+02
27,30,2,5.884093e+02
27,30,3,5.863500e+02
27,30,5,5.816360e+02
27,30,10,5.711301e+02
27,30,20,5.693518e+02
27,30,30,5.689089e+02
27,30,40,5.686802e+02
27,30,50,5.685870e+02
27,30,60,5.685203e+02
27,30,70,5.684732e+02
27,30,80,5.684161e+02
27,30,90,5.683992e+02
27,30,100,5.683992e+02
