funcid,dim,milestone,error
17,100,1,4.842366e+03
17,100,2,4.389649e+03
17,100,3,4.011554e+03
17,100,5,3.791392e+03
17,100,10,3.680593e+03
17,100,20,3.484712e+03
17,100,30,3.437154e+03
17,100,40,3.436373e+03
17,100,50,3.424390e+03
17,100,60,3.418486e+03
17,100,70,3.414984e+03
17,100,80,3.412329e+03
17,100,90,3.411850e+03
17,100,100,3.410495e+03
17,100,1,5.516786e+03
17,100,2,4.106602e+03
17,100,3,3.643642e+03
17,100,5,3.214667e+03
17,100,10,2.974510e+03
17,100,20,2.825718e+03
17,100,30,2.792593e+03
17,100,40,2.770908e+03
17,100,50,2.766143e+03
17,100,60,2.766143e+03
17,100,70,2.765522e+03
17,100,80,2.763975e+03
17,100,90,2.761745e+03
17,100,100,2.760968e+03
17,100,1,5.802560e+03
17,100,2,3.973132e+03
17,100,3,3.843024e+03
17,100,5,3.604768e+03
17,100,10,3.491480e+03
17,100,20,3.290971e+03
17,100,30,3.171410e+03
17,100,40,3.131896e+03
17,100,50,3.116342e+03
17,100,60,3.115777e+03
17,100,70,3.115777e+03
17,100,80,3.111968e+03
17,100,90,3.103250e+03
17,100,100,3.103250e+03
17,100,1,5.913671e+03
17,100,2,4.086471e+03
17,100,3,4.015705e+03
17,100,5,3.944468e+03
17,100,10,3.343274e+03
17,100,20,3.159230e+03
17,100,30,3.126044e+03
17,100,40,3.111391e+03
17,100,50,3.101797e+03
17,100,60,3.092205e+03
17,100,70,3.092205e+03
17,100,80,3.089848e+03
17,100,90,3.087572e+03
17,100,100,3.084858e+03
17,100,1,5.734149e+03
17,100,2,5.448867e+03
17,100,3,3.792212e+03
17,100,5,3.431026e+03
17,100,10,3.320062e+03
17,100,20,3.127567e+03
17,100,30,3.079165e+03
17,100,40,3.044202e+03
17,100,50,3.031067e+03
17,100,60,3.026361e+03
17,100,70,3.020142e+03
17,100,80,3.018699e+03
17,100,90,3.014193e+03
17,100,100,3.011297e+03
17,100,1,4.608437e+03
17,100,2,3.778371e+03
17,100,3,3.459386e+03
17,100,5,2.893903e+03
17,100,10,2.563674e+03
17,100,20,2.369408e+03
17,100,30,2.325479e+03
17,100,40,2.320980e+03
17,100,50,2.315999e+03
17,100,60,2.314689e+03
17,100,70,2.306639e+03
17,100,80,2.306639e+03
17,100,90,2.306639e+03
17,100,100,2.305470e+03
17,100,1,5.003702e+03
17,100,2,4.128759e+03
17,100,3,4.050779e+03
17,100,5,3.660482e+03
17,100,10,3.530790e+03
17,100,20,3.361716e+03
17,100,30,3.320598e+03
17,100,40,3.304197e+03
17,100,50,3.299425e+03
17,100,60,3.297072e+03
17,100,70,3.294214e+03
17,100,80,3.290284e+03
17,100,90,3.289772e+03
17,100,100,3.289765e+03
17,100,1,5.714083e+03
17,100,2,3.751047e+03
17,100,3,3.660681e+03
17,100,5,3.550582e+03
17,100,10,3.314645e+03
17,100,20,3.198382e+03
17,100,30,3.134533e+03
17,100,40,3.129865e+03
17,100,50,3.121321e+03
17,100,60,3.121321e+03
17,100,70,3.117971e+03
17,100,80,3.116861e+03
17,100,90,3.116321e+03
17,100,100,3.114662e+03
17,100,1,4.605708e+03
17,100,2,4.130718e+03
17,100,3,4.130718e+03
17,100,5,3.300053e+03
17,100,10,2.852852e+03
17,100,20,2.703302e+03
17,100,30,2.597539e+03
17,100,40,2.563725e+03
17,100,50,2.556094e+03
17,100,60,2.551737e+03
17,100,70,2.543632e+03
17,100,80,2.537812e+03
17,100,90,2.537709e+03
17,100,100,2.532691e+03
17,100,1,4.619660e+03
17,100,2,3.362116e+03
17,100,3,3.362116e+03
17,100,5,2.847755e+03
17,100,10,2.459778e+03
17,100,20,2.248352e+03
17,100,30,2.174306e+03
17,100,40,2.161639e+03
17,100,50,2.137496e+03
17,100,60,2.130171e+03
17,100,70,2.125582e+03
17,100,80,2.122232e+03
17,100,90,2.117181e+03
17,100,100,2.116781e+03
