funcid,dim,milestone,error
18,50,1,8.738766e+06
18,50,2,7.313617e+06
18,50,3,4.391472e+06
18,50,5,2.476879e+06
18,50,10,1.552839e+06
18,50,20,6.964093e+05
18,50,30,4.177372e+05
18,50,40,2.697583e+05
18,50,50,2.044497e+05
18,50,60,1.663014e+05
18,50,70,1.497273e+05
18,50,80,1.374919e+05
18,50,90,1.320415e+05
18,50,100,1.273174e+05
18,50,1,2.616166e+06
18,50,2,1.998528e+06
18,50,3,1.338411e+06
18,50,5,1.283942e+06
18,50,10,9.357805e+05
18,50,20,7.089375e+05
18,50,30,5.441111e+05
18,50,40,4.214059e+05
18,50,50,3.333072e+05
18,50,60,2.648292e+05
18,50,70,2.147396e+05
18,50,80,1.877823e+05
18,50,90,1.576839e+05
18,50,100,1.302559e+05
18,50,1,6.290351e+06
18,50,2,6.086623e+06
18,50,3,6.086623e+06
18,50,5,4.825345e+06
18,50,10,3.042705e+06
18,50,20,1.071171e+06
18,50,30,5.670283e+05
18,50,40,4.040279e+05
18,50,50,3.082732e+05
18,50,60,2.439391e+05
18,50,70,2.001139e+05
18,50,80,1.746468e+05
18,50,90,1.558151e+05
18,50,100,1.380916e+05
18,50,1,2.095897e+07
18,50,2,1.019492e+07
18,50,3,6.521615e+06
18,50,5,4.632355e+06
18,50,10,2.318291e+06
18,50,20,7.928532e+05
18,50,30,4.000384e+05
18,50,40,2.638617e+05
18,50,50,2.139185e+05
18,50,60,1.958101e+05
18,50,70,1.778485e+05
18,50,80,1.636973e+05
18,50,90,1.534110e+05
18,50,100,1.478955e+05
18,50,1,1.707090e+07
18,50,2,4.058676e+06
18,50,3,1.967478e+06
18,50,5,1.967478e+06
18,50,10,1.034604e+06
18,50,20,4.845588e+05
18,50,30,3.012233e+05
18,50,40,2.538590e+05
18,50,50,2.256269e+05
18,50,60,2.094561e+05
18,50,70,2.010250e+05
18,50,80,1.966132e+05
18,50,90,1.932452e+05
18,50,100,1.889960e+05
18,50,1,2.205153e+07
18,50,2,8.388779e+06
18,50,3,4.909165e+06
18,50,5,1.883369e+06
18,50,10,2.535838e+05
18,50,20,1.845568e+05
18,50,30,1.680328e+05
18,50,40,1.608966e+05
18,50,50,1.565027e+05
18,50,60,1.479393e+05
18,50,70,1.426403e+05
18,50,80,1.385476e+05
18,50,90,1.334041e+05
18,50,100,1.305504e+05
18,50,1,4.142600e+06
18,50,2,8.945517e+05
18,50,3,5.094384e+05
18,50,5,2.361133e+05
18,50,10,2.361133e+05
18,50,20,2.098298e+05
18,50,30,2.087547e+05
18,50,40,2.087547e+05
18,50,50,2.069616e+05
18,50,60,2.017346e+05
18,50,70,1.990050e+05
18,50,80,1.960847e+05
18,50,90,1.926545e+05
18,50,100,1.897630e+05
18,50,1,4.934535e+06
18,50,2,1.209865e+06
18,50,3,6.089264e+05
18,50,5,4.063701e+05
18,50,10,3.768941e+05
18,50,20,2.463059e+05
18,50,30,2.235726e+05
18,50,40,1.941317e+05
18,50,50,1.654032e+05
18,50,60,1.548184e+05
18,50,70,1.468448e+05
18,50,80,1.424347e+05
18,50,90,1.368067e+05
18,50,100,1.334991e+05
18,50,1,1.592943e+07
18,50,2,5.203684e+06
18,50,3,2.549696e+06
18,50,5,1.999201e+06
18,50,10,9.602392e+05
18,50,20,5.073014e+05
18,50,30,3.247130e+05
18,50,40,2.139176e+05
18,50,50,1.864155e+05
18,50,60,1.676305e+05
18,50,70,1.477232e+05
18,50,80,1.376292e+05
18,50,90,1.296833e+05
18,50,100,1.200469e+05
18,50,1,2.438497e+06
18,50,2,2.284372e+06
18,50,3,2.205076e+06
18,50,5,1.427109e+06
18,50,10,6.096887e+05
18,50,20,3.277537e+05
18,50,30,2.585379e+05
18,50,40,2.207393e+05
18,50,50,2.058504e+05
18,50,60,1.988953e+05
18,50,70,1.896807e+05
18,50,80,1.817438e+05
18,50,90,1.745710e+05
18,50,100,1.677091e+05
