funcid,dim,milestone,error
25,100,1,1.374909e+03
25,100,2,1.227344e+03
25,100,3,1.101046e+03
25,100,5,1.037389e+03
25,100,10,9.694239e+02
25,100,20,8.976270e+02
25,100,30,8.644847e+02
25,100,40,8.483104e+02
25,100,50,8.402621e+02
25,100,60,8.326590e+02
25,100,70,8.238618e+02
25,100,80,8.189141e+02
25,100,90,8.141378e+02
25,100,100,8.081749e+02
25,100,1,1.537573e+03
25,100,2,1.230891e+03
25,100,3,1.062687e+03
25,100,5,9.565055e+02
25,100,10,7.956219e+02
25,100,20,7.576776e+02
25,100,30,7.377818e+02
25,100,40,7.302825e+02
25,100,50,7.271240e+02
25,100,60,7.257477e+02
25,100,70,7.253566e+02
25,100,80,7.252040e+02
25,100,90,7.250677e+02
25,100,100,7.250677e+02
25,100,1,1.695093e+03
25,100,2,1.221378e+03
25,100,3,1.044521e+03
25,100,5,9.328395e+02
25,100,10,8.566330e+02
25,100,20,7.654997e+02
25,100,30,7.565962e+02
25,100,40,7.178438e+02
25,100,50,6.768974e+02
25,100,60,6.690178e+02
25,100,70,6.645119e+02
25,100,80,6.618726e+02
25,100,90,6.601392e+02
25,100,100,6.594230e+02
25,100,1,1.845836e+03
25,100,2,1.188789e+03
25,100,3,1.050956e+03
25,100,5,8.882470e+02
25,100,10,8.223070e+02
25,100,20,7.455762e+02
25,100,30,7.272881e+02
25,100,40,7.196258e+02
25,100,50,7.176168e+02
25,100,60,7.169382e+02
25,100,70,7.167651e+02
25,100,80,7.166384e+02
25,100,90,7.165222e+02
25,100,100,7.164166e+02
25,100,1,1.942801e+03
25,100,2,1.285144e+03
25,100,3,1.205103e+03
25,100,5,1.041863e+03
25,100,10,9.256932e+02
25,100,20,8.759813e+02
25,100,30,8.478439e+02
25,100,40,8.328391e+02
25,100,50,8.250642e+02
25,100,60,8.216431e+02
25,100,70,8.161449e+02
25,100,80,7.973771e+02
25,100,90,7.856906e+02
25,100,100,7.766504e+02
25,100,1,1.770029e+03
25,100,2,1.205209e+03
25,100,3,1.124496e+03
25,100,5,1.054267e+03
25,100,10,9.269796e+02
25,100,20,8.130610e+02
25,100,30,7.912850e+02
25,100,40,7.805725e+02
25,100,50,7.729743e+02
25,100,60,7.683549e+02
25,100,70,7.670154e+02
25,100,80,7.667582e+02
25,100,90,7.666015e+02
25,100,100,7.665265e+02
25,100,1,1.338196e+03
25,100,2,1.061031e+03
25,100,3,9.368389e+02
25,100,5,8.479978e+02
25,100,10,8.139233e+02
25,100,20,7.606539e+02
25,100,30,6.864978e+02
25,100,40,6.633493e+02
25,100,50,6.592229e+02
25,100,60,6.586308e+02
25,100,70,6.583899e+02
25,100,80,6.580956e+02
25,100,90,6.579561e+02
25,100,100,6.579197e+02
25,100,1,1.590420e+03
25,100,2,1.323700e+03
25,100,3,1.156785e+03
25,100,5,1.069964e+03
25,100,10,9.260936e+02
25,100,20,8.701027e+02
25,100,30,8.450315e+02
25,100,40,8.349474e+02
25,100,50,8.258893e+02
25,100,60,8.195478e+02
25,100,70,8.172871e+02
25,100,80,8.166687e+02
25,100,90,8.158800e+02
25,100,100,8.151475e+02
25,100,1,1.410990e+03
25,100,2,1.007247e+03
25,100,3,9.385970e+02
25,100,5,8.328395e+02
25,100,10,7.527287e+02
25,100,20,7.456633e+02
25,100,30,7.424949e+02
25,100,40,7.417718e+02
25,100,50,7.413445e+02
25,100,60,7.410210e+02
25,100,70,7.409541e+02
25,100,80,7.408467e+02
25,100,90,7.407557e+02
25,100,100,7.406632e+02
25,100,1,1.293101e+03
25,100,2,1.096892e+03
25,100,3,1.038129e+03
25,100,5,9.135879e+02
25,100,10,8.312058e+02
25,100,20,7.998711e+02
25,100,30,7.931850e+02
25,100,40,7.880360e+02
25,100,50,7.862376e+02
25,100,60,7.854125e+02
25,100,70,7.845974e+02
25,100,80,7.840043e+02
25,100,90,7.836244e+02
25,100,100,7.832678e+02
