funcid,dim,milestone,error
4,100,1,2.223344e+03
4,100,2,6.854478e+02
4,100,3,4.624444e+02
4,100,5,3.346635e+02
4,100,10,2.927019e+02
4,100,20,2.870788e+02
4,100,30,2.514137e+02
4,100,40,2.463523e+02
4,100,50,2.441418e+02
4,100,60,2.427026e+02
4,100,70,2.413347e+02
4,100,80,2.396018e+02
4,100,90,2.369694e+02
4,100,100,2.346873e+02
4,100,1,2.223344e+03
4,100,2,6.854478e+02
4,100,3,4.624444e+02
4,100,5,3.346635e+02
4,100,10,2.927019e+02
4,100,20,2.870788e+02
4,100,30,2.514137e+02
4,100,40,2.463523e+02
4,100,50,2.441418e+02
4,100,60,2.427026e+02
4,100,70,2.413347e+02
4,100,80,2.396018e+02
4,100,90,2.369694e+02
4,100,100,2.346873e+02
4,100,1,2.223344e+03
4,100,2,6.854478e+02
4,100,3,4.624444e+02
4,100,5,3.346635e+02
4,100,10,2.927019e+02
4,100,20,2.870788e+02
4,100,30,2.514137e+02
4,100,40,2.463523e+02
4,100,50,2.441418e+02
4,100,60,2.427026e+02
4,100,70,2.413347e+02
4,100,80,2.396018e+02
4,100,90,2.369694e+02
4,100,100,2.346873e+02
4,100,1,2.223344e+03
4,100,2,6.854478e+02
4,100,3,4.624444e+02
4,100,5,3.346635e+02
4,100,10,2.927019e+02
4,100,20,2.870788e+02
4,100,30,2.514137e+02
4,100,40,2.463523e+02
4,100,50,2.441418e+02
4,100,60,2.427026e+02
4,100,70,2.413347e+02
4,100,80,2.396018e+02
4,100,90,2.369694e+02
4,100,100,2.346873e+02
4,100,1,2.223344e+03
4,100,2,6.854478e+02
4,100,3,4.624444e+02
4,100,5,3.346635e+02
4,100,10,2.927019e+02
4,100,20,2.870788e+02
4,100,30,2.514137e+02
4,100,40,2.463523e+02
4,100,50,2.441418e+02
4,100,60,2.427026e+02
4,100,70,2.413347e+02
4,100,80,2.396018e+02
4,100,90,2.369694e+02
4,100,100,2.346873e+02
4,100,1,2.223344e+03
4,100,2,6.854478e+02
4,100,3,4.624444e+02
4,100,5,3.346635e+02
4,100,10,2.927019e+02
4,100,20,2.870788e+02
4,100,30,2.514137e+02
4,100,40,2.463523e+02
4,100,50,2.441418e+02
4,100,60,2.427026e+02
4,100,70,2.413347e+02
4,100,80,2.396018e+02
4,100,90,2.369694e+02
4,100,100,2.346873e+02
4,100,1,2.223344e+03
4,100,2,6.854478e+02
4,100,3,4.624444e+02
4,100,5,3.346635e+02
4,100,10,2.927019e+02
4,100,20,2.870788e+02
4,100,30,2.514137e+02
4,100,40,2.463523e+02
4,100,50,2.441418e+02
4,100,60,2.427026e+02
4,100,70,2.413347e+02
4,100,80,2.396018e+02
4,100,90,2.369694e+02
4,100,100,2.346873e+02
4,100,1,2.223344e+03
4,100,2,6.854478e+02
4,100,3,4.624444e+02
4,100,5,3.346635e+02
4,100,10,2.927019e+02
4,100,20,2.870788e+02
4,100,30,2.514137e+02
4,100,40,2.463523e+02
4,100,50,2.441418e+02
4,100,60,2.427026e+02
4,100,70,2.413347e+02
4,100,80,2.396018e+02
4,100,90,2.369694e+02
4,100,100,2.346873e+02
4,100,1,2.223344e+03
4,100,2,6.854478e+02
4,100,3,4.624444e+02
4,100,5,3.346635e+02
4,100,10,2.927019e+02
4,100,20,2.870788e+02
4,100,30,2.514137e+02
4,100,40,2.463523e+02
4,100,50,2.441418e+02
4,100,60,2.427026e+02
4,100,70,2.413347e+02
4,100,80,2.396018e+02
4,100,90,2.369694e+02
4,100,100,2.346873e+02
4,100,1,2.223344e+03
4,100,2,6.854478e+02
4,100,3,4.624444e+02
4,100,5,3.346635e+02
4,100,10,2.927019e+02
4,100,20,2.870788e+02
4,100,30,2.514137e+02
4,100,40,2.463523e+02
4,100,50,2.441418e+02
4,100,60,2.427026e+02
4,100,70,2.413347e+02
4,100,80,2.396018e+02
4,100,90,2.369694e+02
4,100,100,2.346873e+02
