funcid,dim,milestone,error
3,50,1,2.981835e+05
3,50,2,2.545053e+05
3,50,3,2.057928e+05
3,50,5,1.465858e+05
3,50,10,7.226445e+04
3,50,20,2.252621e+04
3,50,30,6.337643e+03
3,50,40,1.001876e+03
3,50,50,1.501289e+00
3,50,60,6.028795e-01
3,50,70,5.194879e-01
3,50,80,2.139014e-01
3,50,90,2.139014e-01
3,50,100,2.051495e-01
3,50,1,2.981835e+05
3,50,2,2.545053e+05
3,50,3,2.057928e+05
3,50,5,1.465858e+05
3,50,10,7.226445e+04
3,50,20,2.252621e+04
3,50,30,6.337643e+03
3,50,40,1.001876e+03
3,50,50,1.501289e+00
3,50,60,6.028795e-01
3,50,70,5.194879e-01
3,50,80,2.139014e-01
3,50,90,2.139014e-01
3,50,100,2.051495e-01
3,50,1,2.981835e+05
3,50,2,2.545053e+05
3,50,3,2.057928e+05
3,50,5,1.465858e+05
3,50,10,7.226445e+04
3,50,20,2.252621e+04
3,50,30,6.337643e+03
3,50,40,1.001876e+03
3,50,50,1.501289e+00
3,50,60,6.028795e-01
3,50,70,5.194879e-01
3,50,80,2.139014e-01
3,50,90,2.139014e-01
3,50,100,2.051495e-01
3,50,1,2.981835e+05
3,50,2,2.545053e+05
3,50,3,2.057928e+05
3,50,5,1.465858e+05
3,50,10,7.226445e+04
3,50,20,2.252621e+04
3,50,30,6.337643e+03
3,50,40,1.001876e+03
3,50,50,1.501289e+00
3,50,60,6.028795e-01
3,50,70,5.194879e-01
3,50,80,2.139014e-01
3,50,90,2.139014e-01
3,50,100,2.051495e-01
3,50,1,2.981835e+05
3,50,2,2.545053e+05
3,50,3,2.057928e+05
3,50,5,1.465858e+05
3,50,10,7.226445e+04
3,50,20,2.252621e+04
3,50,30,6.337643e+03
3,50,40,1.001876e+03
3,50,50,1.501289e+00
3,50,60,6.028795e-01
3,50,70,5.194879e-01
3,50,80,2.139014e-01
3,50,90,2.139014e-01
3,50,100,2.051495e-01
3,50,1,2.981835e+05
3,50,2,2.545053e+05
3,50,3,2.057928e+05
3,50,5,1.465858e+05
3,50,10,7.226445e+04
3,50,20,2.252621e+04
3,50,30,6.337643e+03
3,50,40,1.001876e+03
3,50,50,1.501289e+00
3,50,60,6.028795e-01
3,50,70,5.194879e-01
3,50,80,2.139014e-01
3,50,90,2.139014e-01
3,50,100,2.051495e-01
3,50,1,2.981835e+05
3,50,2,2.545053e+05
3,50,3,2.057928e+05
3,50,5,1.465858e+05
3,50,10,7.226445e+04
3,50,20,2.252621e+04
3,50,30,6.337643e+03
3,50,40,1.001876e+03
3,50,50,1.501289e+00
3,50,60,6.028795e-01
3,50,70,5.194879e-01
3,50,80,2.139014e-01
3,50,90,2.139014e-01
3,50,100,2.051495e-01
3,50,1,2.981835e+05
3,50,2,2.545053e+05
3,50,3,2.057928e+05
3,50,5,1.465858e+05
3,50,10,7.226445e+04
3,50,20,2.252621e+04
3,50,30,6.337643e+03
3,50,40,1.001876e+03
3,50,50,1.501289e+00
3,50,60,6.028795e-01
3,50,70,5.194879e-01
3,50,80,2.139014e-01
3,50,90,2.139014e-01
3,50,100,2.051495e-01
3,50,1,2.981835e+05
3,50,2,2.545053e+05
3,50,3,2.057928e+05
3,50,5,1.465858e+05
3,50,10,7.226445e+04
3,50,20,2.252621e+04
3,50,30,6.337643e+03
3,50,40,1.001876e+03
3,50,50,1.501289e+00
3,50,60,6.028795e-01
3,50,70,5.194879e-01
3,50,80,2.139014e-01
3,50,90,2.139014e-01
3,50,100,2.051495e-01
3,50,1,2.981835e+05
3,50,2,2.545053e+05
3,50,3,2.057928e+05
3,50,5,1.465858e+05
3,50,10,7.226445e+04
3,50,20,2.252621e+04
3,50,30,6.337643e+03
3,50,40,1.001876e+03
3,50,50,1.501289e+00
3,50,60,6.028795e-01
3,50,70,5.194879e-01
3,50,80,2.139014e-01
3,50,90,2.139014e-01
3,50,100,2.051495e-01
