funcid,dim,milestone,error
27,50,1,1.072973e+03
27,50,2,1.013129e+03
27,50,3,9.600192e+02
27,50,5,9.415056e+02
27,50,10,9.354908e+02
27,50,20,9.315778e+02
27,50,30,9.306332e+02
27,50,40,9.303037e+02
27,50,50,9.302081e+02
27,50,60,9.300896e+02
27,50,70,9.298418e+02
27,50,80,9.298341e+02
27,50,90,9.297191e+02
27,50,100,9.297191e+02
27,50,1,1.072973e+03
27,50,2,1.013129e+03
27,50,3,9.600192e+02
27,50,5,9.415056e+02
27,50,10,9.354908e+02
27,50,20,9.315778e+02
27,50,30,9.306332e+02
27,50,40,9.303037e+02
27,50,50,9.302081e+02
27,50,60,9.300896e+02
27,50,70,9.298418e+02
27,50,80,9.298341e+02
27,50,90,9.297191e+02
27,50,100,9.297191e+02
27,50,1,1.072973e+03
27,50,2,1.013129e+03
27,50,3,9.600192e+02
27,50,5,9.415056e+02
27,50,10,9.354908e+02
27,50,20,9.315778e+02
27,50,30,9.306332e+02
27,50,40,9.303037e+02
27,50,50,9.302081e+02
27,50,60,9.300896e+02
27,50,70,9.298418e+02
27,50,80,9.298341e+02
27,50,90,9.297191e+02
27,50,100,9.297191e+02
27,50,1,1.072973e+03
27,50,2,1.013129e+03
27,50,3,9.600192e+02
27,50,5,9.415056e+02
27,50,10,9.354908e+02
27,50,20,9.315778e+02
27,50,30,9.306332e+02
27,50,40,9.303037e+02
27,50,50,9.302081e+02
27,50,60,9.300896e+02
27,50,70,9.298418e+02
27,50,80,9.298341e+02
27,50,90,9.297191e+02
27,50,100,9.297191e+02
27,50,1,1.072973e+03
27,50,2,1.013129e+03
27,50,3,9.600192e+02
27,50,5,9.415056e+02
27,50,10,9.354908e+02
27,50,20,9.315778e+02
27,50,30,9.306332e+02
27,50,40,9.303037e+02
27,50,50,9.302081e+02
27,50,60,9.300896e+02
27,50,70,9.298418e+02
27,50,80,9.298341e+02
27,50,90,9.297191e+02
27,50,100,9.297191e+02
27,50,1,1.072973e+03
27,50,2,1.013129e+03
27,50,3,9.600192e+02
27,50,5,9.415056e+02
27,50,10,9.354908e+02
27,50,20,9.315778e+02
27,50,30,9.306332e+02
27,50,40,9.303037e+02
27,50,50,9.302081e+02
27,50,60,9.300896e+02
27,50,70,9.298418e+02
27,50,80,9.298341e+02
27,50,90,9.297191e+02
27,50,100,9.297191e+02
27,50,1,1.072973e+03
27,50,2,1.013129e+03
27,50,3,9.600192e+02
27,50,5,9.415056e+02
27,50,10,9.354908e+02
27,50,20,9.315778e+02
27,50,30,9.306332e+02
27,50,40,9.303037e+02
27,50,50,9.302081e+02
27,50,60,9.300896e+02
27,50,70,9.298418e+02
27,50,80,9.298341e+02
27,50,90,9.297191e+02
27,50,100,9.297191e+02
27,50,1,1.072973e+03
27,50,2,1.013129e+03
27,50,3,9.600192e+02
27,50,5,9.415056e+02
27,50,10,9.354908e+02
27,50,20,9.315778e+02
27,50,30,9.306332e+02
27,50,40,9.303037e+02
27,50,50,9.302081e+02
27,50,60,9.300896e+02
27,50,70,9.298418e+02
27,50,80,9.298341e+02
27,50,90,9.297191e+02
27,50,100,9.297191e+02
27,50,1,1.072973e+03
27,50,2,1.013129e+03
27,50,3,9.600192e+02
27,50,5,9.415056e+02
27,50,10,9.354908e+02
27,50,20,9.315778e+02
27,50,30,9.306332e+02
27,50,40,9.303037e+02
27,50,50,9.302081e+02
27,50,60,9.300896e+02
27,50,70,9.298418e+02
27,50,80,9.298341e+02
27,50,90,9.297191e+02
27,50,100,9.297191e+02
27,50,1,1.072973e+03
27,50,2,1.013129e+03
27,50,3,9.600192e+02
27,50,5,9.415056e+02
27,50,10,9.354908e+02
27,50,20,9.315778e+02
27,50,30,9.306332e+02
27,50,40,9.303037e+02
27,50,50,9.302081e+02
27,50,60,9.300896e+02
27,50,70,9.298418e+02
27,50,80,9.298341e+02
27,50,90,9.297191e+02
27,50,100,9.297191e+02
