funcid,dim,milestone,error
1,50,1,1.233836e+09
1,50,2,1.470425e+08
1,50,3,7.889101e+07
1,50,5,1.624497e+07
1,50,10,4.196291e+06
1,50,20,7.910132e+05
1,50,30,5.350505e+05
1,50,40,3.069475e+05
1,50,50,1.965640e+05
1,50,60,1.473320e+05
1,50,70,1.182347e+05
1,50,80,9.571850e+04
1,50,90,7.767685e+04
1,50,100,6.911219e+04
1,50,1,1.233836e+09
1,50,2,1.470425e+08
1,50,3,7.889101e+07
1,50,5,1.624497e+07
1,50,10,4.196291e+06
1,50,20,7.910132e+05
1,50,30,5.350505e+05
1,50,40,3.069475e+05
1,50,50,1.965640e+05
1,50,60,1.473320e+05
1,50,70,1.182347e+05
1,50,80,9.571850e+04
1,50,90,7.767685e+04
1,50,100,6.911219e+04
1,50,1,1.233836e+09
1,50,2,1.470425e+08
1,50,3,7.889101e+07
1,50,5,1.624497e+07
1,50,10,4.196291e+06
1,50,20,7.910132e+05
1,50,30,5.350505e+05
1,50,40,3.069475e+05
1,50,50,1.965640e+05
1,50,60,1.473320e+05
1,50,70,1.182347e+05
1,50,80,9.571850e+04
1,50,90,7.767685e+04
1,50,100,6.911219e+04
1,50,1,1.233836e+09
1,50,2,1.470425e+08
1,50,3,7.889101e+07
1,50,5,1.624497e+07
1,50,10,4.196291e+06
1,50,20,7.910132e+05
1,50,30,5.350505e+05
1,50,40,3.069475e+05
1,50,50,1.965640e+05
1,50,60,1.473320e+05
1,50,70,1.182347e+05
1,50,80,9.571850e+04
1,50,90,7.767685e+04
1,50,100,6.911219e+04
1,50,1,1.233836e+09
1,50,2,1.470425e+08
1,50,3,7.889101e+07
1,50,5,1.624497e+07
1,50,10,4.196291e+06
1,50,20,7.910132e+05
1,50,30,5.350505e+05
1,50,40,3.069475e+05
1,50,50,1.965640e+05
1,50,60,1.473320e+05
1,50,70,1.182347e+05
1,50,80,9.571850e+04
1,50,90,7.767685e+04
1,50,100,6.911219e+04
1,50,1,1.233836e+09
1,50,2,1.470425e+08
1,50,3,7.889101e+07
1,50,5,1.624497e+07
1,50,10,4.196291e+06
1,50,20,7.910132e+05
1,50,30,5.350505e+05
1,50,40,3.069475e+05
1,50,50,1.965640e+05
1,50,60,1.473320e+05
1,50,70,1.182347e+05
1,50,80,9.571850e+04
1,50,90,7.767685e+04
1,50,100,6.911219e+04
1,50,1,1.233836e+09
1,50,2,1.470425e+08
1,50,3,7.889101e+07
1,50,5,1.624497e+07
1,50,10,4.196291e+06
1,50,20,7.910132e+05
1,50,30,5.350505e+05
1,50,40,3.069475e+05
1,50,50,1.965640e+05
1,50,60,1.473320e+05
1,50,70,1.182347e+05
1,50,80,9.571850e+04
1,50,90,7.767685e+04
1,50,100,6.911219e+04
1,50,1,1.233836e+09
1,50,2,1.470425e+08
1,50,3,7.889101e+07
1,50,5,1.624497e+07
1,50,10,4.196291e+06
1,50,20,7.910132e+05
1,50,30,5.350505e+05
1,50,40,3.069475e+05
1,50,50,1.965640e+05
1,50,60,1.473320e+05
1,50,70,1.182347e+05
1,50,80,9.571850e+04
1,50,90,7.767685e+04
1,50,100,6.911219e+04
1,50,1,1.233836e+09
1,50,2,1.470425e+08
1,50,3,7.889101e+07
1,50,5,1.624497e+07
1,50,10,4.196291e+06
1,50,20,7.910132e+05
1,50,30,5.350505e+05
1,50,40,3.069475e+05
1,50,50,1.965640e+05
1,50,60,1.473320e+05
1,50,70,1.182347e+05
1,50,80,9.571850e+04
1,50,90,7.767685e+04
1,50,100,6.911219e+04
1,50,1,1.233836e+09
1,50,2,1.470425e+08
1,50,3,7.889101e+07
1,50,5,1.624497e+07
1,50,10,4.196291e+06
1,50,20,7.910132e+05
1,50,30,5.350505e+05
1,50,40,3.069475e+05
1,50,50,1.965640e+05
1,50,60,1.473320e+05
1,50,70,1.182347e+05
1,50,80,9.571850e+04
1,50,90,7.767685e+04
1,50,100,6.911219e+04
