funcid,dim,milestone,error
29,10,1,4.389313e+02
29,10,2,4.072050e+02
29,10,3,3.937837e+02
29,10,5,3.794587e+02
29,10,10,3.680491e+02
29,10,20,3.582002e+02
29,10,30,3.551912e+02
29,10,40,3.551912e+02
29,10,50,3.550207e+02
29,10,60,3.550203e+02
29,10,70,3.549944e+02
29,10,80,3.549750e+02
29,10,90,3.549192e+02
29,10,100,3.548250e+02
29,10,1,4.389313e+02
29,10,2,4.072050e+02
29,10,3,3.937837e+02
29,10,5,3.794587e+02
29,10,10,3.680491e+02
29,10,20,3.582002e+02
29,10,30,3.551912e+02
29,10,40,3.551912e+02
29,10,50,3.550207e+02
29,10,60,3.550203e+02
29,10,70,3.549944e+02
29,10,80,3.549750e+02
29,10,90,3.549192e+02
29,10,100,3.548250e+02
29,10,1,4.389313e+02
29,10,2,4.072050e+02
29,10,3,3.937837e+02
29,10,5,3.794587e+02
29,10,10,3.680491e+02
29,10,20,3.582002e+02
29,10,30,3.551912e+02
29,10,40,3.551912e+02
29,10,50,3.550207e+02
29,10,60,3.550203e+02
29,10,70,3.549944e+02
29,10,80,3.549750e+02
29,10,90,3.549192e+02
29,10,100,3.548250e+02
29,10,1,4.389313e+02
29,10,2,4.072050e+02
29,10,3,3.937837e+02
29,10,5,3.794587e+02
29,10,10,3.680491e+02
29,10,20,3.582002e+02
29,10,30,3.551912e+02
29,10,40,3.551912e+02
29,10,50,3.550207e+02
29,10,60,3.550203e+02
29,10,70,3.549944e+02
29,10,80,3.549750e+02
29,10,90,3.549192e+02
29,10,100,3.548250e+02
29,10,1,4.389313e+02
29,10,2,4.072050e+02
29,10,3,3.937837e+02
29,10,5,3.794587e+02
29,10,10,3.680491e+02
29,10,20,3.582002e+02
29,10,30,3.551912e+02
29,10,40,3.551912e+02
29,10,50,3.550207e+02
29,10,60,3.550203e+02
29,10,70,3.549944e+02
29,10,80,3.549750e+02
29,10,90,3.549192e+02
29,10,100,3.548250e+02
29,10,1,4.389313e+02
29,10,2,4.072050e+02
29,10,3,3.937837e+02
29,10,5,3.794587e+02
29,10,10,3.680491e+02
29,10,20,3.582002e+02
29,10,30,3.551912e+02
29,10,40,3.551912e+02
29,10,50,3.550207e+02
29,10,60,3.550203e+02
29,10,70,3.549944e+02
29,10,80,3.549750e+02
29,10,90,3.549192e+02
29,10,100,3.548250e+02
29,10,1,4.389313e+02
29,10,2,4.072050e+02
29,10,3,3.937837e+02
29,10,5,3.794587e+02
29,10,10,3.680491e+02
29,10,20,3.582002e+02
29,10,30,3.551912e+02
29,10,40,3.551912e+02
29,10,50,3.550207e+02
29,10,60,3.550203e+02
29,10,70,3.549944e+02
29,10,80,3.549750e+02
29,10,90,3.549192e+02
29,10,100,3.548250e+02
29,10,1,4.389313e+02
29,10,2,4.072050e+02
29,10,3,3.937837e+02
29,10,5,3.794587e+02
29,10,10,3.680491e+02
29,10,20,3.582002e+02
29,10,30,3.551912e+02
29,10,40,3.551912e+02
29,10,50,3.550207e+02
29,10,60,3.550203e+02
29,10,70,3.549944e+02
29,10,80,3.549750e+02
29,10,90,3.549192e+02
29,10,100,3.548250e+02
29,10,1,4.389313e+02
29,10,2,4.072050e+02
29,10,3,3.937837e+02
29,10,5,3.794587e+02
29,10,10,3.680491e+02
29,10,20,3.582002e+02
29,10,30,3.551912e+02
29,10,40,3.551912e+02
29,10,50,3.550207e+02
29,10,60,3.550203e+02
29,10,70,3.549944e+02
29,10,80,3.549750e+02
29,10,90,3.549192e+02
29,10,100,3.548250e+02
29,10,1,4.389313e+02
29,10,2,4.072050e+02
29,10,3,3.937837e+02
29,10,5,3.794587e+02
29,10,10,3.680491e+02
29,10,20,3.582002e+02
29,10,30,3.551912e+02
29,10,40,3.551912e+02
29,10,50,3.550207e+02
29,10,60,3.550203e+02
29,10,70,3.549944e+02
29,10,80,3.549750e+02
29,10,90,3.549192e+02
29,10,100,3.548250e+02
